date,house,debateType,debate_uri,xml_uri
2018-12-20,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2018-12-20/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2018-12-20/debate/mul@/main.xml
2018-12-19,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_climate_action/2018-12-19/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_climate_action/2018-12-19/debate/mul@/main.xml
2018-12-19,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2018-12-19/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2018-12-19/debate/mul@/main.xml
2018-12-19,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2018-12-19/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2018-12-19/debate/mul@/main.xml
2018-12-19,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2018-12-19/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2018-12-19/debate/mul@/main.xml
2018-12-18,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2018-12-18/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2018-12-18/debate/mul@/main.xml
2018-12-18,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_communications_climate_action_and_environment/2018-12-18/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_communications_climate_action_and_environment/2018-12-18/debate/mul@/main.xml
2018-12-18,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_children_and_youth_affairs/2018-12-18/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_children_and_youth_affairs/2018-12-18/debate/mul@/main.xml
2018-12-18,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/comhchoiste_na_gaeilge_na_gaeltachta_agus_na_noilean/2018-12-18/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/comhchoiste_na_gaeilge_na_gaeltachta_agus_na_noilean/2018-12-18/debate/mul@/main.xml
2018-12-18,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2018-12-18/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2018-12-18/debate/mul@/main.xml
2018-12-18,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2018-12-18/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2018-12-18/debate/mul@/main.xml
2018-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2018-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2018-12-13/debate/mul@/main.xml
2018-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_health/2018-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_health/2018-12-13/debate/mul@/main.xml
2018-12-13,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2018-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2018-12-13/debate/mul@/main.xml
2018-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_foreign_affairs_and_trade_and_defence/2018-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_foreign_affairs_and_trade_and_defence/2018-12-13/debate/mul@/main.xml
2018-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2018-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2018-12-13/debate/mul@/main.xml
2018-12-12,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_climate_action/2018-12-12/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_climate_action/2018-12-12/debate/mul@/main.xml
2018-12-12,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2018-12-12/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2018-12-12/debate/mul@/main.xml
2018-12-12,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_housing_planning_and_local_government/2018-12-12/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_housing_planning_and_local_government/2018-12-12/debate/mul@/main.xml
2018-12-12,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_justice_and_equality/2018-12-12/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_justice_and_equality/2018-12-12/debate/mul@/main.xml
2018-12-12,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_justice_and_equality/2018-12-12/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_justice_and_equality/2018-12-12/debate/mul@/main.xml
2018-12-12,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_rural_and_community_development/2018-12-12/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_rural_and_community_development/2018-12-12/debate/mul@/main.xml
2018-12-12,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_culture_heritage_and_the_gaeltacht/2018-12-12/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_culture_heritage_and_the_gaeltacht/2018-12-12/debate/mul@/main.xml
