date,house,debateType,debate_uri,xml_uri
2012-12-20,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_finance_public_expenditure_and_reform/2012-12-20/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_finance_public_expenditure_and_reform/2012-12-20/debate/mul@/main.xml
2012-12-20,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2012-12-20/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2012-12-20/debate/mul@/main.xml
2012-12-20,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health_and_children/2012-12-20/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health_and_children/2012-12-20/debate/mul@/main.xml
2012-12-20,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2012-12-20/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2012-12-20/debate/mul@/main.xml
2012-12-20,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2012-12-20/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2012-12-20/debate/mul@/main.xml
2012-12-19,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/sub_committee_on_penal_reform/2012-12-19/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/sub_committee_on_penal_reform/2012-12-19/debate/mul@/main.xml
2012-12-19,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2012-12-19/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2012-12-19/debate/mul@/main.xml
2012-12-19,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_education_and_social_protection/2012-12-19/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_education_and_social_protection/2012-12-19/debate/mul@/main.xml
2012-12-19,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_finance_public_expenditure_and_reform/2012-12-19/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_finance_public_expenditure_and_reform/2012-12-19/debate/mul@/main.xml
2012-12-19,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_foreign_affairs_and_trade/2012-12-19/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_foreign_affairs_and_trade/2012-12-19/debate/mul@/main.xml
2012-12-19,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_justice_defence_and_equality/2012-12-19/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_justice_defence_and_equality/2012-12-19/debate/mul@/main.xml
2012-12-19,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_justice_defence_and_equality/2012-12-19/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_justice_defence_and_equality/2012-12-19/debate/mul@/main.xml
2012-12-19,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_public_service_oversight_and_petitions/2012-12-19/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_public_service_oversight_and_petitions/2012-12-19/debate/mul@/main.xml
2012-12-19,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2012-12-19/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2012-12-19/debate/mul@/main.xml
2012-12-18,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_jobs_enterprise_and_innovation/2012-12-18/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_jobs_enterprise_and_innovation/2012-12-18/debate/mul@/main.xml
2012-12-18,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_environment_culture_and_the_gaeltacht/2012-12-18/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_environment_culture_and_the_gaeltacht/2012-12-18/debate/mul@/main.xml
2012-12-18,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_european_union_affairs/2012-12-18/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_european_union_affairs/2012-12-18/debate/mul@/main.xml
2012-12-18,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2012-12-18/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2012-12-18/debate/mul@/main.xml
2012-12-18,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2012-12-18/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2012-12-18/debate/mul@/main.xml
2012-12-18,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2012-12-18/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2012-12-18/debate/mul@/main.xml
2012-12-17,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2012-12-17/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2012-12-17/debate/mul@/main.xml
