date,house,debate_uri,speech_number,speaker,member_name,text
2012-09-26,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2012-09-26/debate/main,361,Deputy Clare Daly,Deputy Clare Daly,"deputy clare daly
          i also read the justice for magdalenes report over the weekend and upsetting as it is, it should be made compulsory reading for all citizens. it is a register of the crimes committed by this state against women. after reading the report, there can be no doubt that this was a deliberate social policy which was summed up in the report of the commission on the relief of the sick and destitute poor, which dealt with how the state handled births outside marriage. a woman could be detained in a mother and baby home for a year if she had one child outside marriage. if she had two children, she could be detained for two years and if she had any more, she could be detained for as long as the state deemed necessary. the object was clearly defined thus: ""...to regulate control according to individual requirements, or in the more degraded cases to segregate those who have become sources of evil, danger, and expense to the community."" how more horrendous could any sentence be?
           i read of one case where a girl was raped by her brother. he was imprisoned for six years and she got life in a magdalen laundry. i also read of another woman, buried in limerick, who spent 74 years in a laundry. the report is a litany of degradation, imprisonment, violations of human rights and forced labour. the evidence is irrefutable in this report. the state was fully complicit in all of these activities through the capitation fees it paid on behalf of those who were on probation and sent to laundries. it was complicit in the transferring of young women to the laundries from industrial schools. there was no monitoring of the conditions in the laundries and the state fought against the application of the factories act, when it was introduced, to the laundries. when the act was applied, the state carried out no enforcement. the state also interacted in the drawing up of the lucrative commercial contracts between the laundries and the army, prison services and so forth.
           it is not good enough for the government to say, ""wait, we will deal with it this year"". these people have already waited a lifetime. many of them cannot wait any more. the un commission on torture said over three months ago that this should have been dealt with. this is an ageing population. they deserve an apology now. they deserve redress now. i support the suggestion that these laundries were commercial enterprises and the reckonable service should be pensionable. the money should be recovered in unpaid paye and prsi contributions to foot the bill. there should be no more excuses or delays. this matter should be dealt with now."
2012-09-26,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2012-09-26/debate/main,378,Deputy Seán Crowe,Deputy Seán Crowe,"deputy seán crowe
          many words and images come to mind when thinking about these institutions. i think of images of cold, thick walls, bars on windows, the smell of bleach and words such as cruelty, sadness, terror, poverty, unhappiness, regret, hunger, brutality, abuse, despair, beatings, imprisonment and silence.
           it is now three years since justice for magdalenes circulated an apology and redress scheme for survivors. it is 22 months since the irish human rights commission stated that a statutory inquiry into alleged abuses and provision of redress should begin immediately. it is 15 months since the un committee against torture detailed that the state should ensure that survivors should obtain redress within one year, but the government continues to delay in providing all magdalen victims with redress and, more important, with an apology. the long delay is unacceptable but it is made worse when one considers that survivors of the laundries are elderly and suffering ill health as a result of their forced incarceration and some survivors have been refused pension entitlements by the department of social protection.
           tonight as we discuss this motion we must remember also the survivors of another brutal christian residential institution who were also failed by the state. the women and children who survived shocking abuse in the bethany home are also elderly and they have fought bravely and courageously for an independent inquiry to examine what happened in this residential home, which was open from 1921 to 1972. earlier this year, when the residential institutions statutory fund bill was debated, i strongly argued that separate redress boards should be created for both the magdalen laundries women and bethany home survivors. however, the minister, deputy quinn, refused probably because of the financial cost to the state and also because the bethany home was a privately owned mother and baby institution. this does not mean that the state was not complicit; it failed these women and children.
           between 1922 and 1949, more than 220 children died in the bethany home and 219 were buried in unmarked graves in mount jerome cemetery. i pass their plot very regularly and cannot understand why this government will not open an inquiry into how our state failed these defenceless children. that place is a bleak spot with no flowers or markers, no large headstone nor any evidence of the babies and children who passed so quickly through this life. there are no daisies nor anything else there; it is just a patch of ground. i attended the cemetery plot recently in the company of some survivors and the minister of state, deputy joe costello. i made the point that we have compounded the hurt of these survivors by not including them in redress.
           i am reminded of what the minister of state, deputy kathleen lynch, said when in opposition. at that time she called on the government to, ""do the decent thing and end this outrage."" these sentiments were supported by her now cabinet colleagues. now these same members are in a position to do in their own words, ""the decent thing"", but they are sitting on their hands and refusing to honour their promises to the elderly survivors of this institution.
           the list of horrendous abuse in the bethany home is long and disturbing, yet we must not shy away from this black episode in the state's history. in october 1939, following an inspection of the bethany home it was found that 14 infants had died since the last inspection of the premises and a total of 57 children were living in the home at the time. in the same year, a report from an inspector in monaghan on children who were boarded out from the bethany home found that the children were insufficiently clad, unwashed for weeks and that one sick and neglected child had not had a nappy changed for weeks. yet the state refused to act. it suppressed the truth and simply ordered the home to stop admitting catholics. there is evidence that one child died there every three weeks between 1935 and 1940. i ask if we can now do the decent thing but i have not heard any answers from the benches opposite. we need to do the decent thing and step up to the plate for these women. certainly tonight we need to apologise on behalf of the state and we need to bring redress to these elderly people who suffered in these homes."
2012-09-25,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2012-09-25/debate/main,434,Deputy Jonathan O'Brien,Deputy Jonathan O'Brien,"deputy jonathan o'brien
          i, too, welcome the opportunity to discuss this important issue. the sinn féin party did everything in its power to try to ensure the motion received the support of every member. it is unfortunate that we do not find ourselves in that position tonight, but i thank all of the members who signed the motion and indicated their support for it, especially those in the technical group, independent deputies and fianna fáil deputies. unfortunately, the government side has seen fit to bring forward its amendment. however well meaning they try to portray it, it is a matter of regret because this is a missed opportunity for all members to speak with one voice on behalf of the victims. as the previous two speakers outlined, the primary purpose of the motion is to keep the issue of the magdalen laundries at the top of the political agenda and try to finally arrive at a position where the government will act decisively and swiftly, unlike previous governments, by providing redress for the cruelty and abuse inflicted on the women concerned, with a much overdue apology on behalf of the state. many speakers tonight and tomorrow night will rightly focus on the injustices inflicted on the women of the magdalen laundries. 
           as deputy caoimhghín ó caoláin noted, it is equally important not to forget another dark episode in our recent history. we are mindful of another group of survivors who were treated in an equally appalling way by the state, that is, the women and children who suffered in bethany home. like the magdalen laundries survivors, they have campaigned courageously for an apology and an independent inquiry into what happened in that residential home. it is important to reflect on what happened. we know that between 1922 and 1949 more than 220 children died in bethany home, of whom some 219 are buried in unmarked graves in mount jerome cemetery. we know that countless others suffered illness and abuse resulting from neglect. as far back as 1939, there were reports of the abuse that people had suffered in this residential home. we have heard countless stories of children being insufficiently cared for, going unwashed, sick, neglected and left in soiled nappies for lengthy periods. this is the most appalling abuse that anyone could put any child through. bethany home symbolises the abandonment of the state's duty of care to women and children who found themselves in institutions.
           it is regrettable that the plight of the victims of bethany home have been largely ignored and disregarded by previous governments. earlier this year when we were discussing the residential institutions statutory fund bill, there was an opportunity to go some way to try to rectify this. during the debate we brought forward a motion that would have seen the establishment of a separate redress board for the women of the magdalen laundries and the bethany home survivors. unfortunately, like the previous governments which failed to address this issue, the minister for education and skills could not find it within himself to support the amendment. during the debate he cited the well worn excuses of previous governments about the potential cost to the state and the fact that the bethany home survivors had come from a privately run mother and baby institution and, therefore, were not entitled to redress. this is all the more regrettable when one considers that there are serving ministers and ministers of state on the government benches who held very different views when they sat on these benches. for example, in 2010 during a memorial service for the bethany home victims buried in mount jerome cemetery the minister of state, deputy kathleen lynch, said it was time for the government to ""do the decent thing and end this outrage"". these sentiments were echoed by many within her party. we have heard deputy mcdonald quoting other labour party deputies in this regard. now the minister of state and other labour party ministers who spoke so passionately on behalf of the victims two years ago find themselves in a position to honour what they said to rectify the situation and put an end to the outrage. it is baffling why this issue has not been resolved before now, given some of the comments the minister of state has made.
           it is more than 70 years since the first reports on events at bethany home. it appears from the government amendment that once they attained power, those in government, like those in previous governments, seem more concerned with refusing to face up to the state's responsibility to survivors and that they are willing to wash their hands. this is despicable - there is no other way of describing it. the actions of this and previous governments in comparison to the dignity and integrity of the survivors' groups which have campaigned tirelessly on behalf of the victims bring shame on this and previous governments. it is simply unacceptable by any moral or ethical standard that the women concerned are still being denied any official acknowledgement of their suffering. just as the minister of state, deputy kathleen lynch, urged the previous government, i urge the government to do everything in its power to end this outrage.
          the government should start by withdrawing its amendment and supporting the motion. we should not miss the opportunity here for all of us, regardless of political affiliation or none, to speak on behalf of these victims with one voice, and i urge the minister of state to do that."
2012-09-25,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2012-09-25/debate/main,446,Deputy Maureen O'Sullivan,Deputy Maureen O'Sullivan,"deputy maureen o'sullivan
          first, i acknowledge the work of sinn féin and deputy mcdonald, in particular, in bringing this debate to the dáil and their efforts to secure cross-party and independent support for this motion. the ladies deserve a dignified debate in this house. they were deprived of dignity in the laundries and some of them were deprived of it after they left. i also wish to acknowledge the work of the committee chaired by senator mcaleese and the work of ms nuala ní mhuircheartaigh, as well as the co-operation they received from various departments and the religious orders. it is a tribute to the skills of the committee and senator mcaleese that all of that support and encouragement was received. however, i am disappointed by the delay in the completion of the report. even more disappointing is the fact the report will not make any recommendations, which could result in further delays. that is no longer acceptable.
           above all, i wish to acknowledge the work of the justice for magdalenes group. without them this is an episode in our history that people would have been delighted just to forget about and brush under the carpet. were it not for their work, the issue would not be receiving the attention it is now getting. we have learned of the systematic abuse of people in industrial schools, the magdalen laundries, the bethany home and in various sports organisations. these are very dark moments in our history but they do not belong to the past. they are still very much in the present because those people have to live with the scars of that abuse and the scars do not go away.
           the ladies are asking for an apology and redress. many of the women are living in very difficult circumstances. they are generally quite elderly so time is of the essence. it is important that more women do not die without an apology and redress. when i put a priority question to the minister, he was quite horrified at my suggestion that delaying tactics were being employed but people cannot be blamed for thinking that.
           the response to most of the questions posed by members on this issue is that the department wants to establish the facts fully. we know what justice for magdalenes has submitted regarding state involvement with the magdalen laundries. their submission document contained 12 files of supporting material and two files of survivor testimony, totalling 795 pages. they also submitted over 3,700 pages of archival and logistical documentation. these documents outlined what happened to these young girls and women. they were deprived of their liberty, physically and sexually abused, forced into slave labour, deprived of medical treatment, neglected and humiliated. they endured enormous fear, as well as the loss of their identity. one relative who visited a laundry described it as a ""gulag-style incarceration facility"". 
           there is clear evidence that the state's judicial system routinely referred people to the magdalen laundries. there was evidence of transfer from the industrial schools and from the mother and baby homes, which received state and local government funding. an aspect of this that i find particularly horrific is the number of young people who were put into the laundries by their families and simply left there, not to mention the state's failure to supervise this.
           the state apologised to the survivors of the industrial schools in may 1999, before carrying out the relevant inquiry and before establishing the redress scheme. a further apology was issued in 2009. in that context, i ask, as an interim measure, for a gesture of goodwill and an acknowledgement of what went on, that the apology could come sooner rather than later. i discovered in the justice for magdalene's documentation that the first parliamentary question on the matter was asked in 1938.
           in conclusion, this time last year i went to a play at the dublin fringe festival called ""laundry"" by louise lowe, whose family is from the north inner city. the play was based in the convent that was used as a magdalen laundry in sean mcdermott street and was like a virtual reality tour through the various rooms. i was totally traumatised by the experience, even though i was only there for about an hour and a half. it was a very visual representation of what those women went through. during the play, one of the characters said ""will you tell somebody?"" and i reacted, as an audience member, and said ""who will i tell?"". thinking about it afterwards i wondered who i would have told because nobody wanted to listen. nobody in authority wanted to know what was going on. finally, enough is enough for those ladies."
