date,house,debateType,debate_uri,xml_uri
2023-12-14,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-12-14/debate/mul@/main.xml
2023-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_key_issues_affecting_the_traveller_community_2023/2023-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_key_issues_affecting_the_traveller_community_2023/2023-12-14/debate/mul@/main.xml
2023-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2023-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2023-12-14/debate/mul@/main.xml
2023-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_public_petitions_and_the_ombudsmen/2023-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_public_petitions_and_the_ombudsmen/2023-12-14/debate/mul@/main.xml
2023-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_the_implementation_of_the_good_friday_agreement/2023-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_the_implementation_of_the_good_friday_agreement/2023-12-14/debate/mul@/main.xml
2023-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_housing_local_government_and_heritage/2023-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_housing_local_government_and_heritage/2023-12-14/debate/mul@/main.xml
2023-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-12-14/debate/mul@/main.xml
2023-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/comhchoiste_na_gaeilge_na_gaeltachta_agus_phobal_labhartha_na_gaeilge/2023-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/comhchoiste_na_gaeilge_na_gaeltachta_agus_phobal_labhartha_na_gaeilge/2023-12-13/debate/mul@/main.xml
2023-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2023-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2023-12-13/debate/mul@/main.xml
2023-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_enterprise_trade_and_employment/2023-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_enterprise_trade_and_employment/2023-12-13/debate/mul@/main.xml
2023-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_finance_public_expenditure_and_reform_and_taoiseach/2023-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_finance_public_expenditure_and_reform_and_taoiseach/2023-12-13/debate/mul@/main.xml
2023-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2023-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2023-12-13/debate/mul@/main.xml
2023-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_tourism_culture_arts_sport_and_media/2023-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_tourism_culture_arts_sport_and_media/2023-12-13/debate/mul@/main.xml
2023-12-13,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-12-13/debate/mul@/main.xml
2023-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-12-13/debate/mul@/main.xml
2023-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/committee_on_budgetary_oversight/2023-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/committee_on_budgetary_oversight/2023-12-13/debate/mul@/main.xml
2023-12-12,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_assisted_dying/2023-12-12/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_assisted_dying/2023-12-12/debate/mul@/main.xml
2023-12-12,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-12-12/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-12-12/debate/mul@/main.xml
2023-12-12,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-12-12/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-12-12/debate/mul@/main.xml
2023-12-07,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_key_issues_affecting_the_traveller_community_2023/2023-12-07/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_key_issues_affecting_the_traveller_community_2023/2023-12-07/debate/mul@/main.xml
2023-12-07,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2023-12-07/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2023-12-07/debate/mul@/main.xml
2023-12-07,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_environment_and_climate_action/2023-12-07/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_environment_and_climate_action/2023-12-07/debate/mul@/main.xml
2023-12-07,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_the_implementation_of_the_good_friday_agreement/2023-12-07/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_the_implementation_of_the_good_friday_agreement/2023-12-07/debate/mul@/main.xml
2023-12-07,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_housing_local_government_and_heritage/2023-12-07/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_housing_local_government_and_heritage/2023-12-07/debate/mul@/main.xml
2023-12-07,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_justice/2023-12-07/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_justice/2023-12-07/debate/mul@/main.xml
2023-12-07,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-12-07/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-12-07/debate/mul@/main.xml
2023-12-07,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-12-07/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-12-07/debate/mul@/main.xml
2023-12-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_disability_matters/2023-12-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_disability_matters/2023-12-06/debate/mul@/main.xml
2023-12-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2023-12-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2023-12-06/debate/mul@/main.xml
2023-12-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/committee_on_budgetary_oversight/2023-12-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/committee_on_budgetary_oversight/2023-12-06/debate/mul@/main.xml
2023-12-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_environment_and_climate_action/2023-12-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_environment_and_climate_action/2023-12-06/debate/mul@/main.xml
2023-12-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_children_equality_disability_integration_and_youth/2023-12-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_children_equality_disability_integration_and_youth/2023-12-06/debate/mul@/main.xml
2023-12-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_european_union_affairs/2023-12-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_european_union_affairs/2023-12-06/debate/mul@/main.xml
2023-12-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_finance_public_expenditure_and_reform_and_taoiseach/2023-12-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_finance_public_expenditure_and_reform_and_taoiseach/2023-12-06/debate/mul@/main.xml
2023-12-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2023-12-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2023-12-06/debate/mul@/main.xml
2023-12-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_tourism_culture_arts_sport_and_media/2023-12-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_tourism_culture_arts_sport_and_media/2023-12-06/debate/mul@/main.xml
2023-12-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_transport_and_communications/2023-12-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_transport_and_communications/2023-12-06/debate/mul@/main.xml
2023-12-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_social_protection_community_and_rural_development_and_the_islands/2023-12-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_social_protection_community_and_rural_development_and_the_islands/2023-12-06/debate/mul@/main.xml
2023-12-06,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-12-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-12-06/debate/mul@/main.xml
2023-12-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-12-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-12-06/debate/mul@/main.xml
2023-12-05,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_justice/2023-12-05/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_justice/2023-12-05/debate/mul@/main.xml
2023-12-05,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_foreign_affairs_and_defence/2023-12-05/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_foreign_affairs_and_defence/2023-12-05/debate/mul@/main.xml
2023-12-05,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-12-05/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-12-05/debate/mul@/main.xml
2023-12-05,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-12-05/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-12-05/debate/mul@/main.xml
2023-12-05,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_housing_local_government_and_heritage/2023-12-05/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_housing_local_government_and_heritage/2023-12-05/debate/mul@/main.xml
2023-12-05,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_assisted_dying/2023-12-05/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_assisted_dying/2023-12-05/debate/mul@/main.xml
2023-11-30,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_key_issues_affecting_the_traveller_community_2023/2023-11-30/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_key_issues_affecting_the_traveller_community_2023/2023-11-30/debate/mul@/main.xml
2023-11-30,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2023-11-30/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2023-11-30/debate/mul@/main.xml
2023-11-30,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_environment_and_climate_action/2023-11-30/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_environment_and_climate_action/2023-11-30/debate/mul@/main.xml
2023-11-30,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_public_petitions_and_the_ombudsmen/2023-11-30/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_public_petitions_and_the_ombudsmen/2023-11-30/debate/mul@/main.xml
2023-11-30,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-11-30/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-11-30/debate/mul@/main.xml
2023-11-30,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-11-30/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-11-30/debate/mul@/main.xml
2023-11-29,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2023-11-29/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2023-11-29/debate/mul@/main.xml
2023-11-29,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_enterprise_trade_and_employment/2023-11-29/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_enterprise_trade_and_employment/2023-11-29/debate/mul@/main.xml
2023-11-29,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/committee_on_budgetary_oversight/2023-11-29/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/committee_on_budgetary_oversight/2023-11-29/debate/mul@/main.xml
2023-11-29,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_education_further_and_higher_education_research_innovation_and_science/2023-11-29/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_education_further_and_higher_education_research_innovation_and_science/2023-11-29/debate/mul@/main.xml
2023-11-29,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_finance_public_expenditure_and_reform_and_taoiseach/2023-11-29/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_finance_public_expenditure_and_reform_and_taoiseach/2023-11-29/debate/mul@/main.xml
2023-11-29,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_health/2023-11-29/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_health/2023-11-29/debate/mul@/main.xml
2023-11-29,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_justice/2023-11-29/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_justice/2023-11-29/debate/mul@/main.xml
2023-11-29,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_social_protection_community_and_rural_development_and_the_islands/2023-11-29/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_social_protection_community_and_rural_development_and_the_islands/2023-11-29/debate/mul@/main.xml
2023-11-29,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_transport_and_communications/2023-11-29/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_transport_and_communications/2023-11-29/debate/mul@/main.xml
2023-11-29,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-11-29/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2023-11-29/debate/mul@/main.xml
2023-11-29,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-11-29/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2023-11-29/debate/mul@/main.xml
2023-11-28,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_foreign_affairs_and_defence/2023-11-28/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_foreign_affairs_and_defence/2023-11-28/debate/mul@/main.xml
2023-11-28,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_assisted_dying/2023-11-28/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_assisted_dying/2023-11-28/debate/mul@/main.xml
2023-11-28,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_environment_and_climate_action/2023-11-28/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_environment_and_climate_action/2023-11-28/debate/mul@/main.xml
2023-11-28,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_children_equality_disability_integration_and_youth/2023-11-28/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_children_equality_disability_integration_and_youth/2023-11-28/debate/mul@/main.xml
2023-11-28,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_housing_local_government_and_heritage/2023-11-28/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_housing_local_government_and_heritage/2023-11-28/debate/mul@/main.xml
2023-11-28,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_justice/2023-11-28/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_justice/2023-11-28/debate/mul@/main.xml
