date,house,debate_uri,speech_number,speaker,member_name,text
2022-12-14,seanad,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2022-12-14/debate/main,1,An Cathaoirleach,An Cathaoirleach,"an cathaoirleach
          i have received notice from the following senators that they propose to raise the following matters:
          senator niall ó donnghaile - the need for the minister of state with responsibility for sport to provide an update on his engagement with world athletics to obtain a derogation for the island of ireland from the world athletics 1934 boundary rule, which prevents irish athletes from representing the island of ireland at european and world athletics championships.
          senator jerry buttimer - the need for the minister for transport to make a statement on the review of the national aviation policy.
          senator seán kyne - the need for the minister for justice to make a statement on the funding of the galway rape crisis centre.
          senators lynn ruane and alice-mary higgins - the need for the minister for children, equality, disability, integration and youth to make a statement on the measures being taken to address the concerns of relatives and relevant persons in respect of the planning application on the former bessborough mother and baby home estate in county cork.
          senator emer currie - the need for the minister for health to make a statement on the registration of ukrainian doctors so as to make them eligible to practise in ireland.
          senator robbie gallagher - the need for the minister of state with responsibility for disability to provide an update on the removal of transport charges for hse service users in the community healthcare organisation, cho, 1 area.
          senator martin conway - the need for the minister for further and higher education, research, innovation and science to make a statement on the payment of employer grants under the apprentice grant system when administrative errors have occurred.
          senator tim lombard - the need for the minister for housing, local government and heritage to make a statement on his plans for an independent review to assess the effectiveness of the revision of the local government boundary arrangements in cork, which came into effect in 2019.
          senator aisling dolan - the need for the minister for housing, local government and heritage to make a statement on the potential roll-out of an online social housing application process, including for galway county council.
           of the matters raised by the senators suitable for discussion, i have selected senators ó donnghaile, buttimer, kyne, ruane and higgins, who will share time, currie and gallagher and they will be taken now. i regret that i had to rule out of order the matter raised by senator dolan on the ground that the minister has no official responsibility in the matter. the other senators may give notice next year."
2022-12-14,seanad,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2022-12-14/debate/main,24,Senator Alice-Mary Higgins,Senator Alice-Mary Higgins,"senator alice-mary higgins
            as the minister of state will be aware, a new planning application was recently lodged for an apartment scheme on the former bessborough mother and baby home site in cork city. this application is one of a number of live planning applications for developments across this estate. this recently lodged application for a 92-unit scheme was lodged by the same developer who had previously been refused planning permission from an bord pleanála following an oral hearing in 2021. the refusal at that time was because the board was not satisfied that the site was not previously used as and does not contain a children's burial ground and considered that there were reasonable concerns in respect of the potential for a children's burial ground within the site associated with the former use of the lands as a mother and baby home from 1922 to 1998.
             the cork survivors and supporters alliance, cssa, led objections to the previous proposal and has suggested that no development permission should be granted until the areas marked out in historic maps as children's burial sites have been under public ownership and have been managed as a public cemetery. senator ruane and i agree. this has not yet occurred. while this application relates to separate parts of the site, the cssa has concerns about the fact that there seems to be a potential dispersal of human remains throughout the bessborough site. it emerged in the 2021 an bord pleanála oral hearing that topsoil from the land had also been disturbed. the site in question partially surrounds an enclosure that surrounds a folly and a graveyard. this creates particular vulnerabilities around that site. the developer has claimed that there is no basis to suggest the proposed development site contains a burial ground, despite the fact that the commission of investigation concluded that it is highly likely that burials took place on the grounds of bessborough. 
            the minister will be aware of the mortality rates in bessborough. they are shocking, even when compared to the mortality rates in other mother and baby homes across the country. a huge percentage of children in care there died. we know of 923 children who are understood to have died in care of bessborough, even though only 64 burial records have been located. this means there are at least 859 children whose burial places were not recorded.
             the commission of investigation referred to the highly likely fact that those burials took place within the grounds of bessborough. the commission has also said the only way this could be established is by a systematic excavation of the property. the minister, however, has advised that there are no plans to establish an office of authorised intervention in respect of an excavation, as is planned in the case of tuam, due to the difficulty in identifying the specific burial places of children. this decision has caused a great deal of disappointment and hurt for survivors and relatives, who believed, in good faith, that the institutional burials act 2022 would have brought closure and justice. 
             i must express disappointment because during the process of the scrutiny and passing of this act, our group tabled several amendments specifically concerning bessborough to ensure it would be covered. we were told those amendments were not necessary, yet after the act was passed we were told that, in fact, bessborough would not be covered or included. the minister of state will be aware that we have a bill on the order paper now to amend the criteria in respect of burial grounds and the institutional burials act to ensure situations such as bessborough would be covered. the crucial issue is what actions the government and the minister plan to undertake. he previously intervened in making observations on planning applications, but we are concerned about what methods exist to ensure that the rights of those affected are reflected and that we do not see inappropriate development on this site."
2022-12-14,seanad,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2022-12-14/debate/main,25,Minister of State at the Department of Health (Deputy Anne Rabbitte),Minister of State at the Department of Health (Deputy Anne Rabbitte),"minister of state at the department of health (deputy anne rabbitte)
            i thank the senator for raising this matter. i am taking this on behalf of the minister, deputy o'gorman. we are conscious that the uncertainty regarding the burial place of many children who were resident at the former mother and baby institution in bessborough is difficult for the families concerned. the investigation of burial arrangements in mother and baby institutions, including bessborough, was an important part of the work of the commission of investigation into mother and baby homes and certain related matters.
             regarding bessborough, the commission concluded it is likely that some of the children who died at the institution are buried in the grounds but, despite extensive investigation, it was unable to find any physical or documentary evidence of this. the government's response to the legacy of these institutions is set out in the action plan for survivors and former residents of mother and baby home and county home institutions, which was published last november. action 22 of the plan commits the government to advancing the burials legislation to support intervention at the institutional sites where manifestly inappropriate burials have been discovered. it also commits to encouraging local authorities to provide protections within development plan processes for burials sites in their areas that may be linked to former mother and baby or county homes. i can confirm that, in line with the commitments in the action plan, the minister for housing, local government and heritage, deputy darragh o'brien, has written to all city and county councils requesting that development plan processes give adequate consideration to incorporating appropriate measures to ensure the protection of unrecorded burial sites associated with an institution.
             the circular also notes that local authorities, acting as planning authorities, may attach conditions to potential development as appropriate in the circumstances. the minister has also established a working group of departmental and local authority officials to consider issues at local level in relation to memorialisation, including memorialisation of known burial sites. proposed developments in the grounds of bessborough are a matter for the relevant planning authorities, cork city council in this instance. the minister, deputy o' gorman, has previously emphasised that any proposed development should give adequate consideration to the views of survivors and families members and the potential need for further investigations relating to works commencing on the site.
             the recent communication to local authorities from the minister for housing, local government and heritage further emphasises this point. should manifestly inappropriate burials be discovered at the bessborough site, the institutional burials act, which the minister, deputy o'gorman, commenced in july this year, provides an underlying legislative basis for an excavation, recovery and reburial of the remains. the legislation was developed in response to the abhorrent situation at the site of the former mother and baby institution in tuam, county galway, where it was confirmed that the remains of children had been discovered that were interred in a manifestly inappropriate manner and the government was advised that a full forensic-standard excavation, recovery and identification of those remains could not take place under current legislation. to avoid delays in responding to any similar situations that may arise in the future, the institutional burials act is not site-specific and also allows for interventions at other sites should manifestly inappropriate burials be discovered. in the case of bessborough, the location of burials is, sadly, unknown."
2022-12-13,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2022-12-13/debate/main,142,Deputy Peadar Tóibín,Deputy Peadar Tóibín,"deputy peadar tóibín
          in the taoiseach's term of office, there have been a number of internal investigations in his department into leaking to the media. one related to the report on mother and baby homes. it was alleged by some that it might have been the taoiseach himself who leaked that document.
          it is nearly two years since the start of that investigation and there is still no result. will there ever be a result in that? there is another investigation; we do not know exactly what it is about. is it the investigation into the leaking by the tánaiste of the confidential gp document? what is it about and when will we see the results of that investigation?"
2022-12-13,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2022-12-13/debate/main,197,Deputy Mary Lou McDonald,Deputy Mary Lou McDonald,"deputy mary lou mcdonald
            i wish to mark the recent passing of bethany home survivor and campaigner, derek leinster. with the love and support of his wife carol, he fought a tremendous battle for all the bethany home children, who suffered such horrific neglect and abuse. we owe him a tremendous debt of gratitude. our thoughts are with his daughters, deborah, amanda, gail and kerry. ar dheis dé go raibh a anam uasal.
             what engagement has the taoiseach had with church leaders on their respective contributions to the mother and baby home redress scheme? has progress been made on the matter? i must note again my disappointment with the government's decision to exclude from the redress scheme children who were boarded out. religious orders and the state had a direct hand in the exploitation of such children, who were in effect abandoned to devastating exploitation, neglect and abuse within the families and communities to which they were boarded out.
             finally, the adoption authority of ireland has confirmed that it is unable to respond to applications for birth and tracing information within the 90-day statutory timeline and that it will be early autumn before current applicants will receive their information. will the taoiseach and the government sign off on the provision of the additional resources identified by the authority to meet its statutory obligation?"
2022-12-12,seanad,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2022-12-12/debate/main,10,Senator Rebecca Moynihan,Senator Rebecca Moynihan,"senator rebecca moynihan
          i thank the cathaoirleach, the taoiseach, ministers, former members and distinguished guests. seanad éireann in the past 100 years has seen remarkable displays of resilience, activism and passion from politicians across the divide. i am proud to be here as a representative of ireland's oldest political party. as many have said, this house was founded in the shadow of a bitter civil war and my party sought to bring a different perspective to the national parliament. in the shadow of a turbulent war, emerging from the first world war, an era of globalisation and the industrial revolution, my party sought to give a voice to workers. the seanad was founded on the bases of equality, liberty and a belief that citizens and workers are entitled not just to bread but also to roses.
           both the irish state and my party have had a rocky, up and down history. we have been represented very ably in the upper house by people such as roddy connolly, son of james connolly and of pimlico. we have also been represented by people such as former senators ivana bacik, michael d. higgins and evelyn owens. with the indulgence of the cathaoirleach, i feel it is only right to honour the legacies of some of the labour party women who were trail-blazers when they came through the seanad. evelyn owens was one of those people who came to the seanad on behalf of the labour party, beginning her public life as an activist and participant in trade unions while working for dublin corporation. she was the first woman to take the role of president of the irish local government's official union, which is now fórsa, and was a member of the committee at the irish congress of trade unions. when elected to the seanad in 1969, she was a champion and trail-blazer for the rights of workers and women.
           no history of the seanad can be told without the story of evelyn's colleague, also elected in 1969, mary robinson, our first woman president. she spent her time here advocating for the rights of women and minorities. she played a pivotal role in pushing for the decriminalisation of homosexuality, the legalisation of divorce and contraception, the right to free legal aid and the right of women to sit on juries. in the shadow of a state now grappling with justice for the survivors of mother and baby homes, it is worth noting the work of ms robinson and former senator john horgan, who is with us today, for the rights of unmarried mothers in the 1970s, in what were cold political times for that kind of advocacy.
           mary henry, although formally an independent for the trinity panel, was a long-standing labour party member who advocated for medical rights and women's health from her election in 1993. she advocated to improve community care centres, psychiatric hospitals and mental health services, and was one of the voices for prisoners, along with joe costello, in the seanad.
           succeeding mary henry was my colleague and current leader of the labour party, ivana bacik. her legacy in the seanad is marked by her commitment to social and criminal justice. she was a long-time advocate for abortion activists from her time in college and she was at the forefront in campaigning in the seanad against female genital mutilation, where she was joined and ably assisted by vanguards on the government benches such as fiona o'malley.
           it has been important since the seanad's inception that there was a space in the national debate to advocate for workers, women and minorities, and to honour the legacy of those who came before us. that tradition continues today across the seanad chamber in many different parties. there are advocates for climate justice, workers and social justice. the first senator from the travelling community, senator eileen flynn, was appointed. others such as senator higgins are legislators extraordinaire in interrogating ministers."
2022-12-07,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2022-12-07/debate/main,245,Deputy Réada Cronin,Deputy Réada Cronin,"deputy réada cronin
          the cervicalcheck scandal is a scandal in which many people become seriously ill and die. we very much welcome this legislation and the opportunity to speak on it. we have no issue with what is in the bill, as such, or with the amendments but we have a serious issue with the absence of the duty of candour in the bill. we need open disclosure. we must have an obligation on the clinician to inform the patient when something arises and is found. the onus cannot be on the patient. we need a system whereby the patients are notified as a right.
           we are coming up to christmas when many of us talk about empty chairs at the table. politicians love to get all poetic when they are talking about christmas. most people in ireland will never forget vicky phelan because she did without something to make sure women found out the truth. i am an egalitarian republican. i do not get excited about people, put them on pedestals or think they are great. however, when i met vicky phelan at a strictly come dancing event in dublin a couple of years ago, i went up to her because i admired her a great deal for being prepared to do without something in order to stick up for irish women. we are not used to people sticking up for us as irish women.
           this legislation is about vicky phelan. it is not long since we all stood up in the dáil and remarked on how she did not wish anybody to give accolades to her. she wanted accountability. the truth is that vicky was failed by the system. elected women are not here just to bring a few colourful jackets into the chamber. we are here to tell people how it feels. it felt really good to have vicky phelan. i remember when she spoke on the court steps about how she was prepared to stand up for women and the problems with cervicalcheck. women rely on screening such as this. we know that when we go for our cervical check, which is horrible - i hate it - it is not 100% and is just a screening. however, the problem with this legislation and the anonymous programmatic audit is that vicky phelan would not necessarily have found out about her illness if it had been in place at the time. people are saying it feels like the tribunal all over again.
           it seems that even after what vicky phelan did, the culture - the patriarchal attitude - is still the same. even since i became a deputy, i have noticed all the hallmarks of patriarchal rule in this state. we have had debates on mother and baby homes and we spoke about maternity leave for councillors the other day. it is very important for people to listen when women stand up to talk. vicky phelan was not afraid to use her voice. she was marvellous. i do not like to make it personal about her but it is personal. there has to be collaboration.
           it seems that the government will chase people to the death to keep them quiet about the open disclosure aspect of this matter. as many people say, it is not really about the money or about suing; it is about ensuring it does not happen again. many people who were caught up in the cervical smear episode really showed that their priority was to make sure it did not happen to women again. i very much hope the minister listens to this. the onus cannot be on the patient. at present, there is no obligation on the practitioner to disclose the information to the patient. we just cannot accept that.
           women were forced into court even though the minister for health said clearly that this would not happen. he forced them into court and used the patients' money to keep them quiet. he knows it is a bottomless pit because we, the people who pay our taxes, are the cash cow that keeps the state defending the indefensible so many times. the absence of a statutory duty of candour just shows the dysfunction that is still there. i hope the minister will rethink this. i have found him to be a minister who listens. i hope he will see how passionately people feel about this. we appreciate him giving the extra time but the bill as it stands is really not good enough."
2022-12-07,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2022-12-07/debate/main,248,Deputy Pat Buckley,Deputy Pat Buckley,"deputy pat buckley
          i suppose the minister is black and blue from listening to it, but i will cut straight to the chase. the duty of candour has to be put on a statutory footing. in the short few years i have been here, we have scandals including cervicalcheck, vaginal mesh, mother and baby homes, the mental health system and the disability system. it comes down to oversight, accountability and responsibility.
          we are all working on this bill together. that is the agreed basis. the minister has heard most of us talk about it. if we cannot keep the onus on the service provider or the clinicians we are going back to where we started before. we will have nothing. people will lose faith in the screening services and we do not want that.
           i will not mention any names but the patients are really at the heart of this. as i was listening to the debate i was saying to myself that we should not even be here. how hard is it to do the right thing? let us break the status quo. why is the government so frightened? if we put the duty of candour on a statutory footing we will be nailing down accountability, responsibility and the oversight. it does not matter how big the mistake was or how far the actual incident had gone, it is about having the cojones to stand up and say we made a mistake and this person needs to be told the truth today. it is ludicrous that people are waiting on their screens to come back. i do not even think people are aware they actually have to ask for their results and whatever. if there is something wrong a person should be automatically told.
           i worked on the protected disclosures legislation and one of the big changes in the act that will be coming into force in january is the reversal of the burden of proof. where somebody in a whistleblowing situation made a protected disclosure, the person it was made to had no obligation to prove the whistleblower was actually telling the truth. i raise that because with the duty of candour we are not forcing but putting it into law and doing the right thing by stating that people have a responsibility in their jobs, whatever it is, and they will be held accountable. it is very easy to see when somebody is taking on this job that it is not a quick flip for money. i still cannot understand why we even outsourced these services when we have plenty of people well capable of carrying this out. it has been said many times that there is nobody on this side of the house, or any side of it, who has issues with the bill, except for this one little thing. paper never refuses ink, so the minister still has an opportunity to change things and change them for the right. we cannot bring back any family members or anybody who has unfortunately passed but we can certainly take a giant step forward in doing the right thing. we can say we as a collective body passed legislation that had the core principles of proper oversight, proper accountability and proper responsibility, but with the responsibility on the service providers as well as on the patients.
           i was reading though one of the notes, from which i will quote, ""it was described by a survivor as like the tribunal all over again, nothing would be changed and we would have to look for it. that is not what we want, that we would actually have to look for our information"". i appeal to the minister. as i said, paper does not refuse ink. he can change things here. if we can nail down that duty of candour we will have done something right. my wife uses the services, as does my daughter. we want faith in them. you do not want something hanging over you just because of a technical glitch or because it was another word that was absent from this legislation. i appeal to the minister. at the moment a service provider or clinician can sit back and say that if a patient does not ask them, they do not have to tell the patient. that is not proper legislation. there is a duty to say hold on, something is wrong here and to let that person or family know. it sounds like common sense but sometimes common sense - not even in inverted commas - comes into the house. it drives me bonkers and drives me mad. it is like self-regulation. if the minister has the hse investigating the hse, we are not going to get accountability. we are not going to get proper oversight. i appeal to the minister, if it is the only thing he can do, to ensure the duty of candour is on a statutory footing and that everybody involved moving forward will be held accountable if they do not do their job properly. surely everybody should be responsible for what they do."
2022-12-07,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2022-12-07/debate/main,328,Deputy Roderic O'Gorman,Deputy Roderic O'Gorman,"deputy roderic o'gorman
          i move amendment no. 5:
          in page 3, lines 13 and 14, to delete all words from and including “and” in line 13 down to and including line 14 and substitute the following:
          “, the adoption act 2010, the irish human rights and equality commission act 2014, the workplace relations act 2015 and the birth information and tracing act 2022; and to provide for related matters.”.
          i note the motion was debated earlier on these amendments and they are being recommitted.
          on committee stage, i noted my intention to bring these amendments to the adoption act 2010 to alter the quorum requirements for meetings of the board of the adoption authority of ireland, aai, in order to provide greater flexibility in the context of the board members who may form a quorum and thereby ensuring that adoption orders will be made. i am also amending the birth information and tracing act 2022 to enable tusla or the aai to undertake a trace or verification in situations where the person applying cannot provide supporting evidence a parent named on a birth certificate is deceased.
           on amendment no. 32, the board of the aai consists of seven members, including the chair, deputy chair and two members with social work experience. the quorum of the board is provided for in section 106 of the adoption act 2010. current legislative requirements mean that a quorum consists of the chair or deputy chair and two ordinary members, one of whom must be one of the two social workers on the board. the way the adoption act 2010 is written, when the chair is in attendance, the deputy chair does not count towards the two ordinary members required. in addition, the existing quorum requirement puts a considerable burden on the two ordinary members of the board with social work experience. the aai has advised that the quorum requirement set out in the act is onerous, especially in the context of an increasing number of board meetings and an increasing requirement for board meetings at very short notice. the authority has advised of a serious risk to the effect that the specific constraints set out in the act mean the board will not be able to meet and, therefore, that adoption orders will not be made. this is a particular issue because of the growing number of children aged 17 years being adopted from long-term foster care and board meetings being required at short notice. the proposed amendment to the act will provide that the quorum for a meeting of the board will be the chair or deputy chair and two other members, one of whom may be the deputy chair in circumstances where the chair is presiding. this proposal offers greater flexibility in the board members who may form a quorum along with the chair by allowing the deputy chair to be recognised as one of those members and removing the requirement one of the two board members must have social work experience.
           amendment no. 35 relates to the birth information and tracing act 2022, which became law earlier this year. the act provides for the release of identity information to a person who was adopted, nursed out or boarded out, who was subject to an illegal birth registration or who resided in a mother and baby home or county home institution as a child, known as a relevant person. equally importantly, it provides for the release of information to a relative of a relevant person in the scenario where that individual is deceased. the act provides for the release of information to their child, and thereby ensures identity information relevant to their children is available to them. it also provides for the release of information to the next of kin of persons who died as a child in a mother and baby or county home institution. in order to provide for the release of this information, the act requires the parent named on the birth certificate also be deceased. this amendment will enable tusla or the aai to undertake a trace for verification in situations where the person applying cannot provide supporting evidence to that effect. it will support the primary purpose of the act, namely, to ensure the release of information in all cases where it is available.
           amendment no. 5 is a technical amendment to add references to these amendments to the long title of the bill."
2022-11-30,dail,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2022-11-30/debate/main,113,Deputy Kathleen Funchion,Deputy Kathleen Funchion,"deputy kathleen funchion
          like deputy mcguinness, i am not a member of this committee. i appreciate being allowed to speak. i know the witnesses have been here a long time. i will say two things. first, when you take on the system or the state in any way, shape or form, you are up against it. you are dismissed and nearly painted as being crazy. the state will do everything in its power not to answer the questions.
           that leads me to my main point. i am not a member of this committee but i am the chair of the joint committee on children, equality, disability, integration and youth. we have spent a great deal of time dealing with the fall-out and the legacy of the state's many failings with regard to the mother and baby homes. when people first heard the commission of investigation into the mother and baby homes was going to happen, they were delighted because they thought somebody would finally listen and they would get answers. in fact, people ended up feeling more frustrated. regardless of what type of investigation or inquiry is done, it has to be accountable. it cannot be used as another box-ticking exercise, which mr. brennan has obviously been experiencing for many years at this stage. such exercises involve people passing the buck and saying that the matters under scrutiny are not relevant to their department. sometimes people are told ""no, you are wrong"". if mr. brennan gets an inquiry, he does not want it to result in the state saying that it has done something even though it is really not adequate. it is really important that this is done correctly. i do not think a committee would be allowed to do that type of investigation. it would have to be something like a commission of investigation. it is really important that all of that is watched. the terms of reference will be key. they will be crucial.
           i know from dealing with other people who came up against these difficulties that when they thought they were finally getting justice, they actually got the opposite. it is really important that any investigation is done correctly and that there is accountability. it must not be a sympathy exercise. as others have said, that is not what mr. brennan is looking for. he has persevered with this against all the odds over the years, even at times when all the agencies that were basically against him were named out. that is an impossible task. the story in itself is absolutely shocking. it is important that it is not just an inquiry but that it is done correctly and that there is accountability. all the answers must be sought. i agree with what deputy flaherty has said about the various agencies being brought into it. the terms of reference are so important. when people hear that there is to be an inquiry, they often think it is great because they are finally going to get answers. the terms of reference can nearly be overlooked in such circumstances. that would be my advice.
           i mention one other thing. i am conscious that i am not a member of this committee, but i think it should follow up on what mr. walshe said about factories self-regulating. he mentioned a factory that was given something like two weeks' notice when the epa was coming out. i do not know if things have changed since then, but it seems unacceptable that there would be that level of notice for an inspection."
