date,house,debateType,debate_uri,xml_uri
2022-12-17,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2022-12-17/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2022-12-17/debate/mul@/main.xml
2022-12-16,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2022-12-16/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2022-12-16/debate/mul@/main.xml
2022-12-15,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2022-12-15/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2022-12-15/debate/mul@/main.xml
2022-12-15,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2022-12-15/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2022-12-15/debate/mul@/main.xml
2022-12-15,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_the_implementation_of_the_good_friday_agreement/2022-12-15/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_the_implementation_of_the_good_friday_agreement/2022-12-15/debate/mul@/main.xml
2022-12-15,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2022-12-15/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2022-12-15/debate/mul@/main.xml
2022-12-14,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2022-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2022-12-14/debate/mul@/main.xml
2022-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_transport_and_communications/2022-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_transport_and_communications/2022-12-14/debate/mul@/main.xml
2022-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2022-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2022-12-14/debate/mul@/main.xml
2022-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/committee_on_budgetary_oversight/2022-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/committee_on_budgetary_oversight/2022-12-14/debate/mul@/main.xml
2022-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_finance_public_expenditure_and_reform_and_taoiseach/2022-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_finance_public_expenditure_and_reform_and_taoiseach/2022-12-14/debate/mul@/main.xml
2022-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2022-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2022-12-14/debate/mul@/main.xml
2022-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_enterprise_trade_and_employment/2022-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_enterprise_trade_and_employment/2022-12-14/debate/mul@/main.xml
