date,house,debate_uri,speech_number,speaker,member_name,text
2010-11-25,dail,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health_and_children/2010-11-25/debate/main,23,Deputy Kathleen Lynch,Deputy Kathleen Lynch,"deputy kathleen lynch
          i welcome the minister and mr. magee.  given that they are both here, i am inclined to ask the question: ""who is looking after the shop?"", but that is beside the point.  i have asked that question many times.
          i have three questions but i would like to refer briefly to a matter, about which deputy o'sullivan spoke, the moratorium on recruitment.  as my party's spokesperson on equality, i believe that women, given that most nurses are female and that there are also a few female doctors, should be exempt from the moratorium because it is women who have babies.  it is not as if that applies equally to both genders.  i am serious about this; i am not being flippant.  a moratorium on recruitment weighs more heavily on women than it does on men because women are not replaced when they go on maternity leave.  that issue might be examined for the future.
          i have three questions, one of which concerns a local service.  i refer to the waiting time for an assessment for and the fitting of a hearing aid in the audiology service in cork city.  a reply i received states that the average waiting time is 39 weeks following referral, the waiting time for a hearing assessment is between one and 24 months and that no one is waiting longer than between one and four months for the fitting of a hearing aid.  i am always reluctant to say that figures are wrong but i do not believe those figures are correct.  my experience is that the waiting times are much longer than those given that reply.  i am not sure whether that comes down to having a mechanism to get people onto the list and have an assessment done.  i dealt with the case of a gentleman in his eighties last year, who was concerned about the fact that his hearing was not what it should be and who was being cared for by his elderly wife, and it took about 12 months for his case to be dealt with.  it may be that people in their later years are not considered a priority and, while there is definitely an improvement in the service, the waiting time involved needs to be examined.  it is essential this service is provided as poor hearing can result in accidents which would involve greater expense.
          i have raised regularly the provision of a podiatry service for people with diabetes.  the provision of such a service needs to be specifically addressed.  there were 56 amputations in cork last year, 30 of which were directly related to diabetes and there is the follow-on cost from that.  it is reckoned that nationally it costs about €239 million to treat preventable diabetic foot disease.  we all know that prevention in such cases can have a huge impact.  we need to consider this group as a specific category and provide for them.  the diabetes federation of ireland is concerned about this and i am aware that the authorities are engaged in discussions with it, but such a service could be provided quickly and it would have an immediate impact.
          i wish to raise the issue of vaccine trials.  we, as a committee, took a specific interest in the files gathered on vaccine trials on children, most of whom were in state care, in bessborough mother and baby home in cork and other institutions, including st. patrick's mother and baby home in dublin.  we all know where they were.  it appears from the minister's reply that information was gathered and that on foot of a high court case all those files had to be returned to the organisations that gave them because they were the property of those organisations such as glaxosmithkline and others that held the files in the first place.  clearly, there is information on this and we will have to speak about this later because we gave a commitment that we would request a formal investigation into this.  were those files returned with the proviso that nothing would happen to them and that they would be kept safely?  the department now knows where those files are and to whom they relate.  have the children involved in those trials - now adults - who sought their files been informed that they are there and are available?"
2010-11-09,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2010-11-09/debate/main,344,Deputy Martin Mansergh,Deputy Martin Mansergh,"deputy martin mansergh
            i thank deputies michael kennedy, tom kitt and kathleen lynch for raising this issue.  i am speaking on behalf of the minister for justice and law reform, deputy dermot ahern, who i am sure will take careful note of the forceful views that have been expressed on all sides of the house.
            i have great sympathy for those who ended up in magdalene laundries.  we are dealing with a very sad and shameful chapter in our social history.  the laundries existed in an era when irish society could be harsh and hostile to the less fortunate and those who did not comply with what was perceived as respectable.  life in an institution can be a poor substitute for the emotional and other support normally found in a family setting.  officials of the department of justice and law reform have met individuals who were in such institutions as well as representative groups such as justice for magdalenes.  there is no question about their integrity or commitment.  any records available to the department have been shared with the groups concerned and officials will continue to provide all assistance possible to the individuals and interest groups seeking available records.  that was made abundantly clear in the meeting with justice for magdalenes.
            turning now to the specific issue at hand, section 9 of the human rights commission act 2000 provides a statutory mechanism whereby the human rights commission may conduct an inquiry into any relevant matter.  i understand that in june 2010 justice for magdalenes formally requested the commission to carry out such an inquiry into the treatment of women and girls who resided in magdalene laundries.  the commission has today published its assessment of that request and has decided that it will not carry out the requested inquiry.  that is a decision for the commission and i do not propose to make any comment on that aspect of the assessment report.
            the report is an assessment of the human rights issues arising in regard to the magdalene laundries.  it touches on areas that fall within the remit of a number of departments, including the departments of justice and law reform, environment, heritage and local government, health and children, enterprise, trade and innovation, education and skills and health and children.  to the best of my knowledge, the human rights commission did not seek information or observations from these departments on the issues that were being assessed.  similarly there is no indication that information or observations were sought from the religious congregations and other groups which ran the magdalene laundries and mother and baby homes and the reputations of which are at issue.
            the report includes 12 conclusions, many of which are not definitive and use language such as ""questions arise"" or ""may have breached its obligations"".  nevertheless, it is surprising that a body such as the human rights commission apparently did not think it appropriate to provide an opportunity for other perspectives to be taken into account before it published its conclusions on the issues.  such consultation would have allowed the commission to provide a much more comprehensive overview and could have informed its conclusions.
            in this context, it must be pointed out that the human rights commission did not make a definite finding that there were human rights violations.  the report discusses allegations and the possibility that there were human rights violations."
2010-11-09,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2010-11-09/debate/main,346,Deputy Martin Mansergh,Deputy Martin Mansergh,"deputy martin mansergh
            in this house, we have to respect the rights of those who have suffered abuse but there also has to be some regard to the constitutional rights of those accused of wrongdoing.  the human rights commission has decided that it should not carry out a statutory inquiry but has recommended that a statutory mechanism be established to investigate the matters advanced by justice for magdalenes and in appropriate cases to grant redress where warranted.  it advises that such a mechanism should first examine the state's involvement in and responsibility for those entering laundries, their conditions, their departure and end of life issues.  in the event of state involvement or responsibility being established a larger review should be conducted and redress should be considered.
            the details of the report will be considered by the relevant departments and the office of the attorney general.  i fully appreciate the wish of deputies in this house to raise the report.  however, it was only published this morning and it behoves all of us to give careful and detailed consideration to what it says before giving a detailed response.  for clarity it may be helpful to touch on some of the issues that will have to be considered.  besides the provision in the human rights commission act 2000 for a statutory inquiry, the other statutory mechanism for inquiries include the tribunals of inquiry (evidence) acts 1921 to 2004 and the commission of investigation act 2004.
            at first reading the subject matter of an inquiry as proposed by the human rights commission seems to encompass both magdalene laundries and mother and baby homes.  no time limit is set.  we are dealing with what happened to a large number of people over an extended period of time starting in the 1920s, although the exact figure is unclear.  these were privately run institutions and, as the human rights commission concludes, the available public records are poor and incomplete.  the challenges facing any statutory inquiry, whether a tribunal of inquiry or a commission of investigation, should therefore not be underestimated.
            we are all familiar with the excellent work done by the commission to inquire into child abuse.  that was an inquiry primarily into industrial schools which were provided for by statute and funded by the exchequer.  the inquiry alone cost over €120 million and if the cost of redress is included the total cost amounted to €1.36 billion.  in the current economic climate, the government will have to take into account the practical difficulties, including the level and degree of practical co-operation that would be given by interested parties, that any potential inquiry might face, as well as resource implications.  we must learn from the lessons of other investigations, and not least be mindful of the age profile of the group we are all concerned to assist in the best way possible.
            i will also clarify the extent of the criminal justice system involvement in magdalene laundries, which was frequently aimed at not giving such women a criminal record.  under the probation of offenders act 1907, where a court of summary jurisdiction thinks a criminal charge is proved against the accused the court may, without recording a conviction, discharge the person conditionally on his or her entering into recognisance to be of good behaviour and to appear for conviction and sentence at any time during such period not exceeding three years as may be specified in the order; or where a person has been convicted on indictment, a court may release the offender on probation conditionally on his or her entering into recognisance to be of good behaviour and to appear for sentence at any time during such period not exceeding three years as may be specified in the order.  courts did impose conditions in some probation orders that the accused female should reside in the henrietta street home or a magdalene laundry for a specified period.  this mechanism was used both for relatively minor cases tried in the district court as well as in serious cases.
            it is important to note that the courts did not have any power under the probation of offenders act to order a female to be detained in a home or laundry as an alternative to prison.  the person was not detained in custody but if the convicted female did not abide by any of the conditions of the probation order, including residing in the home, the recognisance could be forfeit and she was liable to be brought before the court again for sentencing.  probation orders are of a specific and limited duration of no more than three years and are of no effect once they expire.  there are no central records that would show the number of probation orders requiring a female to reside in particular homes.
            a preliminary examination of the records of the high court sitting as the central criminal court in the period from 1945 to 1950 indicate that a number of women charged with murder pleaded guilty to manslaughter or concealment of birth.  the sentence they received was either imprisonment suspended on condition that the convicted person enter into a recognisance, be bound to the peace and enter an institution, most commonly but not always a magdalene laundry, for a specific period; or enter into a recognisance, be bound to the peace and enter an institution for a specific period with the possibility that she might be called to have a sentence imposed within that specified period.
            one year's residence in an institution was the most common period imposed.  in only one case, in which a five-year period was imposed, did it exceed two years.  the accused had legal representation in all of the cases.  in one or two cases, a named probation officer was designated to escort the convicted person to the institution.  the numbers involved seemed to have been one or two a year.
            the courts have the power to remand a person charged with criminal offences in custody pending trial and sentencing.  in these cases, the periods of remand were normally quite short and would rarely exceed seven days.  the department of justice and law reform is responsible for providing places for people remanded in custody.  in october 1960, the then minister for justice approved two institutions in dublin — st. mary magdalen's asylum in seán macdermott street and our lady's home in henrietta street — for use as a remand institution for females between the ages of 16 and 21, pursuant to the criminal justice act 1960.  arrangements were made to ensure those remanded had the same rights and privileges provided for remand prisoners in the 1947 prison rules part iii, and would be visited from time to time by a probation officer and the superintendent of prisons.
            all the evidence available suggests that the number of women who entered magdalene  laundries through the criminal justice system was small.  it is worth noting that no complaints have been received from any of these women.  i have listened on behalf of the minister to the strongly held views that have been expressed by each of the three deputies.  i am sure their views represent the feelings of most members of the house and most people outside it.  as i said, the government will consider carefully the points made by the human rights commission in today's report."
