date,house,debateType,debate_uri,xml_uri
2024-12-18,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2024-12-18/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2024-12-18/debate/mul@/main.xml
2024-11-07,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2024-11-07/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2024-11-07/debate/mul@/main.xml
2024-11-07,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2024-11-07/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2024-11-07/debate/mul@/main.xml
2024-11-07,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2024-11-07/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2024-11-07/debate/mul@/main.xml
2024-11-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_enterprise_trade_and_employment/2024-11-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_enterprise_trade_and_employment/2024-11-06/debate/mul@/main.xml
2024-11-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_disability_matters/2024-11-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_disability_matters/2024-11-06/debate/mul@/main.xml
2024-11-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_social_protection_community_and_rural_development_and_the_islands/2024-11-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_social_protection_community_and_rural_development_and_the_islands/2024-11-06/debate/mul@/main.xml
2024-11-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_tourism_culture_arts_sport_and_media/2024-11-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_tourism_culture_arts_sport_and_media/2024-11-06/debate/mul@/main.xml
2024-11-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2024-11-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_agriculture_food_and_the_marine/2024-11-06/debate/mul@/main.xml
2024-11-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2024-11-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2024-11-06/debate/mul@/main.xml
2024-11-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_transport_and_communications/2024-11-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_transport_and_communications/2024-11-06/debate/mul@/main.xml
2024-11-06,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2024-11-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2024-11-06/debate/mul@/main.xml
2024-11-06,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2024-11-06/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2024-11-06/debate/mul@/main.xml
2024-11-05,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_housing_local_government_and_heritage/2024-11-05/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_housing_local_government_and_heritage/2024-11-05/debate/mul@/main.xml
2024-11-05,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_foreign_affairs_and_defence/2024-11-05/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_foreign_affairs_and_defence/2024-11-05/debate/mul@/main.xml
2024-11-05,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_finance_public_expenditure_and_reform_and_taoiseach/2024-11-05/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_finance_public_expenditure_and_reform_and_taoiseach/2024-11-05/debate/mul@/main.xml
2024-11-05,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_environment_and_climate_action/2024-11-05/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_environment_and_climate_action/2024-11-05/debate/mul@/main.xml
2024-11-05,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_transport_and_communications/2024-11-05/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_transport_and_communications/2024-11-05/debate/mul@/main.xml
2024-11-05,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_agriculture_food_and_the_marine/2024-11-05/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_agriculture_food_and_the_marine/2024-11-05/debate/mul@/main.xml
