date,house,debate_uri,speech_number,speaker,member_name,text
2020-12-17,dail,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2020-12-17/debate/main,324,Deputy Paul McAuliffe,Deputy Paul McAuliffe,"deputy paul mcauliffe
          regarding the department, there are clear asks. as the co-ordinating department, what learnings will the department of education take from this process? we hope to get the mother and baby homes report early in january and we do not know if it will have a redress scheme. there may be other redress schemes in the future. what learnings has the state taken from having an independent structure, the wind-up costs and the administration costs for any future application of a scheme of this nature? has there been an evaluation of the entire process?"
2020-12-17,dail,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2020-12-17/debate/main,327,Deputy Paul McAuliffe,Deputy Paul McAuliffe,"deputy paul mcauliffe
          given the upcoming publication of the mother and baby homes report, including, i imagine, calls for redress, it should be more than food for thought. we should prioritise the evaluation of the spending of a vast amount of money from the state's perspective, not in the administration and operation, but from whether we believe it was the appropriate way to address an issue that is there."
2020-12-17,dail,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2020-12-17/debate/main,328,Ms Catherine Hynes,Ms Catherine Hynes,"ms catherine hynes
          the deputy again has raised a very interesting point. the comptroller and auditor general asked us to undertake an evaluation of the actual redress scheme for survivors or people in state-run institutions. we have that 99% complete and would hope to bring it to fruition early in the new year. again, it shows very valuable lessons and is probably very appropriate before the mother and baby homes report comes out."
2020-12-11,seanad,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2020-12-11/debate/main,139,Senator Rónán Mullen,Senator Rónán Mullen,"senator rónán mullen
          i have brought up something of substance. my recommendation has been ruled out of order on a technicality and as a result, i was advised by the cathaoirleach and the leas-chathaoirleach that i was within my rights to speak to the section.
           what i am saying is that section 4 should include a recommendation of the kind i am making, which proposes the insertion of a new section 5 that would amend section 195 of the principal act. if the minister of state is going to talk in respect of the content of the recommendation i am proposing being different in its scope to other matters covered within the section and to claim in this house that there is no such thing as a bill of an omnibus nature or a bill that treat of different issues, i can tell him that only a few weeks ago, we had considerable debate in the seanad about how completely discrete issues were tacked into the same piece of legislation at the last moment. i seem to recall that it was in the context of the mother and baby homes commission legislation.
           i ask the minister of state to credit this house with some intelligence by sharing his thoughts with it. he is a fine legislator who knows his stuff so he knows as well as i do that it is no argument against the possible inclusion of this recommendation were the government to have brought it forward that it somehow differs in scope, content or application from other things that might be covered under section 4 of the bill. i ask the minister of state for his specific response to my procedural point because he seems to be suggesting that not only does he not have to engage with what i have said because my proposed recommendation was ruled out of order, even if it had not been ruled out of order, there is no need to engage with it-----"
2020-12-10,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2020-12-10/debate/main,190,Deputy Joan Collins,Deputy Joan Collins,"deputy joan collins
          i am sure the tánaiste is aware that today is international human rights day and in that respect, i draw his attention to the survey by the vienna-based european union fundamental rights agency, fra, on conditions for traveller, roma and sinti communities across six eu countries. on monday, the results of this survey were published. they point to a truly awful situation, with 31% of irish traveller households and 28% of traveller children living in acute poverty. the rate of poverty here is the highest across the six nations surveyed. one in ten travellers are in households where at least one person went to bed hungry in the past year. a full 65% experienced discrimination, again one of the highest levels in the six countries studied. the survey found that 70% of travellers aged between 18 and 24 were not in further education and just 17% of women and 13% of men were in employment, mainly in part-time or precarious jobs.
          this is an indictment of a society with what can only be called racist attitudes towards travellers and roma. it is an indictment of a state that has failed 7% of its population and of the political parties that have dominated government and local authorities since the foundation of the state. the treatment of irish travellers can be compared to the scandalous and inhumane treatment of women and children incarcerated in mother and baby homes and industrial schools. at the very least, they are entitled to an apology from fianna fáil and fine gael and a clear and precise condemnation of those politicians who, if not fostering it, are accommodating anti-traveller bias.
           this is particularly the case in the appalling record of local authorities in providing traveller accommodation. on monday morning, in response to this survey, mr. michael collins of pavee point said that €69 million of funding for traveller accommodation has not been drawn down since 2000. at least 45% of the funding for this year has not been drawn down by local authorities. while the travelling community make up 7% of our population, some 15% of that community are homeless. the facts speak for themselves. local authorities are not prepared to stand up to anti-traveller sentiment. the issue needs to be taken out of their hands. we need a central government agency to take on this key question and to deliver. i will support this issue in the joint committee on key issues affecting the traveller community.
           i repeat my call for the tánaiste to give an apology to the travelling community for the fact that this is still happening three years after 1 march 2017, when traveller ethnicity was recognised. i also call for serious action to tackle the multitude of issues the survey has identified."
2020-12-08,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2020-12-08/debate/main,63,Deputy Holly Cairns,Deputy Holly Cairns,"deputy holly cairns
          plans for a strategic housing development and apartment blocks at bessborough mother and baby institution have been lodged. more than 900 children died while in the care of nuns at bessborough and the burial place of more than 800 of those children is still unknown. the proposed development is to be built on an area that has been documented as a children's burial ground. needless to say, this simply cannot go ahead. the state has a history of facilitating the worst kinds of abuse and a very recent history of unnecessarily compounding the suffering caused by that abuse. the cork survivors and supporters alliance wants the planning applications withdrawn pending further investigation. will the taoiseach intervene immediately to ensure this?"
2020-12-08,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2020-12-08/debate/main,65,The Taoiseach,The Taoiseach,"the taoiseach
          i know the minister, deputy roderic o'gorman, has met with the survivors in this case. i met with the survivors as well and the campaign group around bessborough prior to this planning application going in, and my office has been in contact with them subsequent to the planning application going in. obviously, it is a matter for an bord pleanála to decide on the application.
          however, it seems to me that the application is close to, if not on, the burial site itself, which is unacceptable. one cannot be building on a burial site. initially, the survivors were anxious that it would be preserved as a burial site, which to me was a reasonable position to put forward. this relates to the bessborough mother and baby home. there are other issues also. given the low-lying nature of the land and its proximity to the shore, i am not clear that it is ideal territory for housing in any event but in terms of the sensitivity of the issue and the degree to which the survivors have approached this in a measured way from the very beginning of our engagement with them, i do not believe this is acceptable at all."
2020-12-08,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2020-12-08/debate/main,306,Deputy Réada Cronin,Deputy Réada Cronin,"deputy réada cronin
          historically, the state is all about secrets. we have had mother and baby homes, industrial schools, magdalen laundries and the hush-hush trips to england. domestic violence is one of the last unmentionable secrets.
           men get hammered too, but for them it is usually even more secret. it is mostly women who get and take their beatings, and the threats, the kicks, the punches, the burning, the taunting and the raping. as i stated here last month, women lie on the floor grateful that if himself is laying into them, he is leaving the children alone, but of course, he is not. the minister of state, deputy rabbitte, alluded to it there a minute ago. children bear the invisible scars that show themselves in worry, anxiety and sadness, and, sadly, it is stored up for the future in which it will express itself.
           we have all known the particular purple of a fist against an eye, the blue of a blow to a jaw, the hand prints around the neck and the branding of a woman. women and men need leave to recover from that physical violence. they need domestic violence leave so that their injuries are not the social semaphore of their humiliation, their endangerment and their suffering. above all, they need domestic violence leave to start healing the invisible injuries they carry inside - the terror, the disgust and, for some, a misplaced shame. that shame does not belong to the victim. that shame is wholly owned by the perpetrator.
           the tenderest and the life-changing injuries inflicted on a victim of relationship violence are often psychological. i commend my comrades, deputies mcdonald and o'reilly, on bringing forward this bill and on bringing this subject into the light. the minister, deputy o'gorman, stated that it has been discussed, and it certainly has since i was elected. that is good to see because the silence is how shame keeps living on. let us not delay giving our citizens who have suffered violence in their relationships domestic violence paid leave and help give them the privacy and dignity that they need."
2020-12-03,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2020-12-03/debate/main,96,Deputy Kathleen Funchion,Deputy Kathleen Funchion,"deputy kathleen funchion
            when does the minister plan to publish the report of the commission of investigation into mother and baby homes?"
2020-12-03,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2020-12-03/debate/main,97,Deputy Roderic O'Gorman,Deputy Roderic O'Gorman,"deputy roderic o'gorman
            following its five-year statutory inquiry, the commission of investigation into mother and baby homes and certain related matters delivered its final report to me on 30 october. i signalled previously that there would be a short time interval between receipt of the report and the separate arrangements for its publication. it is essential that publication is done in the right way with former residents being given the priority and support they deserve. in recent weeks, i have spoken to former residents and advocates in this area, including a majority of the collaborative forum and representatives of many of the organisations and individuals affected. i have listened carefully to their views and concerns.
             the work around the publication of the report is at an advanced stage but i am mindful, too, that the uncertainty around when those affected will be able to read the report could add to their anxiety. for this reason and in the hope of offering some reassurance, i wish to confirm today that i will be bringing a memorandum to the government in the week of 11 january next seeking approval to publish the report immediately. i also intend to publish the sixth interim report from the commission at the same time.
             i recognise how important it is that former residents and their families are the first to be notified about plans to publish the report and how to access it. my department contacted former residents earlier today to tell them of the planned publication arrangements.
             deputies will agree that it is important that former residents are informed first. in my communications to survivors this morning, i also highlighted the counselling supports available to those who feel they need additional support immediately and over the christmas and new year period. available capacity in these services will be primed to respond to the anticipated increased demand when the report is published and in the weeks following. an information line has been established in my department and all relevant contact information is on my department's website.
             deputies will be aware that the certain institutional burials (authorised interventions) bill was approved by the previous government in december of last year and referred for pre-legislative scrutiny. due to the general election in february, this did not happen. it is my intention to bring a memorandum to the government on the general scheme of this bill also in the week of 11 january and then refer it to the oireachtas joint committee on children, equality, disability and integration for pre-legislative scrutiny."
