date,house,debate_uri,speech_number,speaker,member_name,text
2021-12-15,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2021-12-15/debate/main,32,Deputy Bríd Smith,Deputy Bríd Smith,"deputy bríd smith
          i wish to share time with deputy barry.
           i understand what deputy cairns meant when she said she had hoped this bill would not be before the house and that it is not something we wish to face. given i am a good bit older than her and been through a life of political activism, all i can say is get used to it. every time you make one step forward, they will try to grab two steps backwards.
           this is not the first time i have seen women's gains in this country being chipped away at and an attempt made to erode them. i have seen the same happen with workers' rights, water charges and very many campaigns we have fought on behalf of communities, the oppressed and, in particular, on behalf of women, because we have a horrible legacy in this country of the oppression of women.
           this bill smacks of an attempt to roll back on the gains of the repeal the eighth movement. people should not forget how earth-shattering that movement and outcome were. it was absolutely groundbreaking stuff in terms of the history of this country and the shape of the future. how it happened was through people power and, in particular, through the massive determination of young women throughout the country to see their rights attained and not to have to live in the dark atmosphere in which their mothers, sisters and all the rest had to live and grow up in, be sexually active in, and be potential mothers in or not at all. that is why i think what is happening here today is straight out of the playbook of american fundamentalism.
           one of the most honest speakers here today has been deputy danny healy-rae because he mentioned the heartbeat several times. it is interesting that, not that long ago, a piece of legislation was brought in in texas, known as the heartbeat legislation, that basically bans abortion once a heartbeat can be detected in a foetus at six weeks. most of us would not know we were pregnant at six weeks. they have been chipping away at this for decades since the roe v. wade judgment, and the texas legislation makes it possible for any citizen to sue another citizen for helping a woman procure an abortion. that is dark ages stuff, and this in a country where abortion was once upon a time available and part of the health service. chipping away at women's rights is something we can expect over the next period.
           last night i read back on the transcript from the debate in the house when the group of deputies who have put forward this bill also supported an amendment when we tried to frame the regulations around the termination of pregnancy. it is carbon copy stuff; there is nothing any different.
           i, for one, am not surprised this bill is before the house. i will expect it or something similar to come before the house again whenever time allows because what it is trying to do is to row back on the rights women have won and were long fought for, as has been said by other deputies, by spreading misinformation, doubt and hoping to create hoops, loops and jumps women will have to go through before they can access abortion. they cannot ban it outright or object to it outright but they will try to chip away at it. the kind of ireland that would bring us back to is the kind of ireland that saw mother and baby homes, magdalen laundries, symphysiotomy and women being absolutely ignored in terms of their medical needs.
           we, as deputies, are not in a position to pass laws that say whether medical procedures require anaesthesia. abortion care should be a normal part of medicine in this country and treated in the same way as other procedures, so that when doctors need to administer them, they should be able to administer them.
          it is precisely that type of right-wing, religiously motivated political interference we have all become familiar with through the a case, the b case, the c case, the x case and the y case. we have known the sort of pitiless regime that was imposed on women in the past.
           i welcome the defeat of the dup bill in stormont last night. i welcome the fact sinn féin changed its position and voted against that bill. it must be said that was a result of the pressure of people power and the activism of young women across northern ireland.
           i want to make a very clear point about why we take up these moral attitudes about pregnancy, reproduction and women. it is shameful these attitudes are taken in a country where 2,500 children will sleep in homeless accommodation tonight and more than 2,000 children are in direct provision. we know for sure that affects their ability to live a happy life. growing up in those circumstances affects their mental health. these are children who have been born. they are walking, thinking, breathing and living. i wish i could hear the deputies who have brought forward this bill kick up the same amount of fuss as regularly about children who have been born as they do, both inside and outside this house, about those who have not yet been born. the choice of the woman is involved and that is always totally ignored.
           we can expect more of this. there are protests outside abortion clinics and gp centres where abortions are being delivered. that is a fundamentalist view. we need to look forward to the review of the termination of pregnancy regulations, to ensure the three-day barrier is removed and we put an end to only 10% of gps providing services."
2021-12-14,dail,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_children_equality_disability_integration_and_youth/2021-12-14/debate/main,14,Ms Karen Kiernan,Ms Karen Kiernan,"ms karen kiernan
          maybe my colleague, dr. keilthy, could come in if i miss anything.
           we believe what is needed is a national child poverty action plan. this could then, at an administrative level, be potentially rolled out at a local level as well through existing local structures to try and reach the children in need around the country.
           a big block is the silent nature of work on policies that cut across each other between departments and agencies. this happens all the time. a parent might get a support in one way and it is taken off the parent in another way. it is not co-ordinated. the citizen, the parent or person is not at the centre of the process; it is the other way around.
           there is a really big issue with not seeing that one-parent families are different. they cannot achieve what two-parent families can. they need additional supports. it should be okay morally, ethically, socially and politically to do that. we still have some mentality from the culture of mother and baby homes - judgment around people parenting on their own - that is very unhelpful and can block and get in the way of some of this progress.
           those are the things that do not work. i do not know if dr. keilthy wants to say anything about what works or if i am putting her on the spot there."
2021-12-14,dail,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_children_equality_disability_integration_and_youth/2021-12-14/debate/main,19,Senator Erin McGreehan,Senator Erin McGreehan,"senator erin mcgreehan
          i missed the start of the meeting as there was a vote in the seanad so i offer my apologies. i thank the witnesses for their contributions. i cannot say i enjoyed the contributions because they were sobering and hard to hear. the first line of the submission from rialto youth project suggests that ireland has higher levels of child poverty than the eu average, which is stark. what is the main cause of that? is this a warped culture of not looking after this issue, of keeping it all within the family and making sure that the family looks after it, without putting in the important structures around the family that the state should? we have heard of the mother and baby homes and the attitudes and culture towards single parents. is it a cultural thing and, if so, how can we best fix that? that is a question to the rialto youth project.
           i am not sure who mentioned the national action plan on child poverty, which also came up at a previous meeting, in particular that there is an action plan and a localised individual plan for each area. we have action plans in urban areas but i believe rural poverty can sometimes be overlooked. i would like to hear an opinion, from whoever mentioned that point, with regard to individualisation, localisation, the national action plan to bring that down to a local level and the best way to do that."
2021-12-08,dail,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2021-12-08/debate/main,278,Deputy Bríd Smith,Deputy Bríd Smith,"deputy bríd smith
          that was not really an answer to my question. if we identify barriers to free and equal access, can we get amendments to the legislation? the intent of the legislation and of many clauses in the act was to provide equal access in the case of fatal foetal abnormality and serious risk to health. i am using them as examples. it is not clear whether the purpose of this review is to say that we are not delivering services here and there, and that they could be delivered better, or if there are barriers which we need to address. if that requires legislative changes, are we prepared to do that? that is a question that both providers and users of the service will be asking themselves and us. i want an answer on the question of the criteria. when will the criteria for the appointment of the chair be published? i have been asked this in messages. has there ever been an e-tender for a chairperson of anything to do with the oireachtas? unless somebody with more experience here can enlighten me, i do not believe the appointment of a chair has ever been tendered out in the case of any investigation or tribunal, such as for mother and baby homes or climate action. this is extraordinary and we need more explanations."
2021-12-07,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2021-12-07/debate/main,102,Deputy Thomas Pringle,Deputy Thomas Pringle,"deputy thomas pringle
          in june this year, the data protection commission wrote to the minister for children, equality, disability, integration and youth in regard to his department's handling of subject access requests, sars, from survivors of mother and baby homes. the commission told the minister: ""concerning si 82/1989, i have had reason to re-examine the department's approach to sars pertaining to health data and i am of the view that the manner in which the department is handling such requests is not appropriate to the circumstances."" in september, the minister, in response to the adoption (information) bill brought forward by deputy connolly and me, told us we would have this bill before the house by christmas. in november, the european commission opened an investigation into the general data protection regulation, gdpr, matter and the department told the commission that it is anticipated that the new regulations will be in place by the end of the year.
          we have seen nothing yet, despite it being prioritised by the chief whip's legislative programme for the term. when will the government get this done? will the taoiseach ensure that the proposed section 10(2), which seeks to limit and continue the same unlawful block on direct access, is removed? most importantly, in the meantime, will the taoiseach ensure that the department desists from its unlawful application of si 82/1989?"
2021-12-07,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2021-12-07/debate/main,139,Deputy Bríd Smith,Deputy Bríd Smith,"deputy bríd smith
          i do. i will make an attempt at it.
           on 13 january in an attempt to apologise to the victims and survivors of mother and baby homes, the taoiseach stated that children born outside marriage were treated as outcasts. some 40% of the survivors now feel that they are being treated like outcasts because they are excluded from the redress scheme. a motion that was passed in the dáil on 23 november and that the government did not oppose called on the government to engage immediately with the victims and survivors who were directly affected by this and to review urgently the time-based criteria, the exclusion of children boarded out and the proposed payment rates. what does the taoiseach intend to do or are the mother and baby home survivors - the outcasts - going to have to go out on the streets again to push this issue forward?"
2021-12-03,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2021-12-03/debate/main,34,Deputy Roderic O'Gorman,Deputy Roderic O'Gorman,"deputy roderic o'gorman
            i know of the deputy’s interest in the issue of memorialisation and the work she has done locally in carlow on this. the establishment of a national memorial and records centre is a core commitment within the plan and provides a basis for several other interdependent projects. the national centre will stand as a national memorial in honour of those who were resident in mother and baby homes, county institutions, industrial schools, magdalen laundries and other related institutions. it will make a significant contribution to our journey of recognising and learning from the failures of the past, acknowledging the hurt which continues to be felt by survivors and seeking to rebuild a relationship of trust with those who have been so gravely wronged.
             with the intention of advancing this project as a priority, the secretary general to the government has been appointed to lead a cross-government process to advance work on a national memorial and records centre. this process, which will include engagement with survivors, will develop an overarching vision and proposed approach for the creation of the national centre. once this initial work is complete, a proposal will be brought to the government for approval. i have secured funding of €1 million per annum for 2022 and 2023 to support the immediate preparatory work and research needed to deliver this centre.
             the national centre will include an archive of records relating to institutional trauma, alongside personal accounts of survivors' lived experiences, as well as presenting the historical and social context. more generally, my department has already appointed an archivist and established a dedicated information management unit to lead on the preservation and access to our records, including the commission's archive. in addition to the national centre, work is being advanced in conjunction with the local authorities to deliver on the commitment to support local memorialisation across the country. furthermore, financial support is available from my department through the commemorative grant scheme to support survivor groups in commemorating their experiences in a manner which fits their own specific needs.
             as we have learned from our consultations with survivors, memorialisation is very important to many of them, but it means many different things to different people. in recognition of this, consistent consultation will be facilitated to ensure the process is informed by those most centrally involved with the experiences."
2021-11-30,seanad,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2021-11-30/debate/main,16,Senator Regina Doherty,Senator Regina Doherty,"senator regina doherty
          ar dheis dé go raibh a anam dílis.
           the order of business is no. 1, motion regarding the draft planning and development (large-scale residential development fees) regulations 2021 and its referral to committee, to be taken on conclusion of the order of business, without debate; no. 2, motion regarding the sectoral employment order (electrical contracting sector) 2021, referral to committee, to be taken on conclusion of no. 1, without debate; no. 3, private members' business, horticultural peat (temporary measures) bill 2021 - second stage, to be taken at 2.45 p.m., and not withstanding anything in standing orders, the proceedings thereon shall adjourn after 90 minutes; no. 4, statements on the national development plan 2021-2030, to be taken at 5 p.m., and to conclude no later than 6.30 p.m., with the time allocated to the opening remarks of the minister not to exceed ten minutes, group spokespersons not exceed seven minutes, all other senators not to exceed five minutes and the minister be given not less than ten minutes to reply to the debate; and no. 5, statements on the mother and baby homes redress scheme, to be taken at 7.30 p.m., and to conclude no later than 9 p.m., with the time allocated to opening remarks of the minister not to exceed ten minutes, all senators not to exceed five minutes and the minister to be given no less than ten minutes to reply to the debate.
           the format for expressions of sympathy is so 142(1). before the order of business, the cathaoirleach will announce the death of former senator eogan.
          when the cathaoirleach calls the leader, the leader shall indicate that she will move a motion for expressions of sympathy by the house at the end of our order of business, which i will do. when the order of business has been agreed, the cathaoirleach will call on me, the leader, and i shall move the motion to that effect."
2021-11-30,seanad,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2021-11-30/debate/main,100,"Minister for Children, Equality, Disability, Integration and Youth (Deputy Roderic O'Gorman)","Minister for Children, Equality, Disability, Integration and Youth (Deputy Roderic O'Gorman)","minister for children, equality, disability, integration and youth (deputy roderic o'gorman)
          i want to express my appreciation to the seanad for arranging this debate further to the discussions we had in the dáil chamber last tuesday and thursday. i reiterate my appreciation of the keen interest many members of the oireachtas have shown in this important issue. the matters we are discussing are not easy to discuss but it is imperative we do so because survivors have waited a long time for an adequate response to the pain and suffering they have endured. i know they appreciate the support of deputies and senators and their attention to these matters. 
           as i have previously stated , the government understands that there is no financial or service provision which could make up for what has been endured by so many people whose lives have been affected by the legacy of these institutions. the shameful way that some of our most vulnerable women and children were treated in mother and baby institutions across the country has rightly caused an outcry. every day we learn more about the shocking treatment endured and how the effects of it continue to ripple through families today. every family has been touched in some way. we witness the pain that is felt so deeply by those who have not been able to access information about their own origins, or who have succeeded in doing so but found the toll of the struggle to be substantial. 
           we recognise the importance of lifting the veil of secrecy and honouring those who suffered because their country cast them aside when they needed help and compassion. the only acceptable response to this legacy has to be holistic and wide-ranging. this is what the government has committed to in its action plan for survivors and former residents of mother and baby and county home institutions. following the state apology last january for the profound intergenerational wrong visited upon mothers and their children in these institutions, significant progress has been made on a number of the actions in the action plan. while we know there can never be enough put in place to make up for the decades of failure, the action plan represents the government's sincere attempt to provide a remedy for the significant grief and anguish that exists.
           the plan encompasses 22 actions. i stress that the mother and baby institutions payment scheme, while hugely important and the most significant scheme of its type in the history of the state, is just one element of the plan. consultation with survivors, including the consultation facilitated by oak consulting on developing proposals for the scheme, has consistently shown that all measures included in the plan are vitally important to survivors and their families.
           it is important to note that action 2 provided counselling support for all former residents. that has been in place since before the publication of the commission's report. the service has been strengthened with additional investment and an expanded out-of-hours service. work has also commenced under action 19 on establishing a patient advocacy liaison service for all survivors and i expect that to be in place next year. the department of health is working with the health research board, again under action 19, on a research project as part of the irish longitudinal study on ageing, tilda, to identify the health needs of survivors. this research will inform health policy and service provision.
           the government has published the general scheme of a birth information and tracing bill, which is currently the subject of pre-legislative scrutiny. the proposed legislation will provide guaranteed access to an unredacted birth certificate and birth information for adopted people, persons whose births were illegally registered and other persons who have questions in relation to their origins. it will also address access to records containing birth and early life information, provide a statutory basis for tracing services and provide for safeguarding of relevant records. consultation with survivors has shown that access to this information is the overwhelming priority need which has been expressed by people who as children were adopted or otherwise separated from their birth family.
           in relation to institutional burials legislation and action 22, the oireachtas joint committee submitted its report on its pre-legislative scrutiny of this bill in july and my department is carefully reviewing its recommendations. i hope to advance this legislation as quickly as possible to allow excavation of the site in tuam to begin in 2022.
           action 18 will see the creation of a children's fund to honour the memory of children who died in mother and baby institutions, through the provision of supports to children who experience disadvantage in the present day. we have also committed to creating a national memorial and records centre and to memorialisation initiatives at local level, as well as the ongoing administration of a commemorative grant scheme in my department to support survivor-centred advocacy groups in organising commemorative events.
           actions 11 to 14 focus on education and research. a number of education and research initiatives are also in train through the department of education, such as the consideration of how best to support schools in enabling students to learn about and understand this important and sensitive aspect of ireland's recent history. the government has created a number of postgraduate scholarships in partnership with the irish research council in memory of the children who died in the institutions. these scholarships will cover research in the area of childhood disadvantage. my department has commissioned a team based in nui galway to conduct research on language, terminology and representation, which aims to highlight the stigmatising and labelling language that has been used in the past and to provide guidance on how to do better in future.
           action 5 of the action plan allows for general data protection regulation, gdpr, right of access to commission records. my department has ensured that resources are in place to deal with subject access requests, sars, in relation to the commission's archive. we have already replied to over 300 survivor requests for access to this information. i am aware that current constraints on access to health data contained in the commission's archive is causing distress to survivors. i have engaged with the minister for health on this issue and he is now progressing new regulations that will allow for full access. in the interim, there is an alternative option to receiving health data under gdpr. my department is advising applicants of the option to apply under freedom of information, foi, to seek access to their health data and is providing support to survivors on this ground. this is to ensure that requestors are made aware of all the options to access their health data and to provide data to requestors more quickly. 
           action 8 of the action plan contains a commitment to enabling public access to original state files. i have established a dedicated unit within my department to lead on this work. through action 10, the government has provided for the appointment of a dedicated archivist based in my department to focus on the preservation of and public access to these essential records.
           action 20 of the plan is the mother and baby institutions payment scheme. through the oak-led consultation process and from my many engagements with survivors, they have made it clear they want a scheme that is non-adversarial, simple and based on trust. the requirement for a low burden of proof was also a key issue raised. this is what the mother and baby institutions payment scheme seeks to deliver in providing a general payment based on time spent in these institutions. the scheme will provide a financial payment to all mothers who spent time in one of the institutions. it will also provide a financial payment to those who were resident as children in one of the institutions for more than six months. the payment is in recognition of the harsh conditions, emotional abuse and other forms of mistreatment, stigma and trauma experienced while resident there. the scheme will provide an enhanced medical card to mothers and children who were in one of the institutions for more than six months. these measures will benefit approximately 34,000 individuals to the value of €800 million. in doing this, the scheme goes beyond both the recommendations of the commission of investigation and the proposals of the interdepartmental group which was established to develop proposals for the scheme. in moving beyond the broad redress measures included in the action plan, the government has included proposals in the scheme to ensure that women who spent time in these institutions after 1974 are included, that all children who spent more than six months in one of the institutions, regardless of whether they were accompanied or unaccompanied, can gain access to a financial payment and that all women, regardless of the time spent in an institution, will be able to access a financial payment.
           while all the work ongoing as part of the action plan is significant, i understand that there is a particular sense of urgency associated with the payment scheme. the government is committed to delivering the scheme as soon as possible and my department is preparing a general scheme of a bill as a matter of urgency. in tandem, work is taking place to make arrangements to establish the executive office within my department to administer the scheme once the legislation has been passed by the oireachtas, in order that the scheme can begin accepting applications as soon as possible. 
          i have committed to prioritising the applications of survivors who are most elderly and other survivors who are particularly vulnerable.
           i would like to thank this house for its time this evening to debate this important matter. i hope to have the opportunity to respond to some of the points made by senators at the end. i want to conclude by reiterating our appreciation to survivors, to their families and to their advocacy groups for their ongoing patience as government continues to work through addressing these complex issues."
2021-11-30,seanad,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2021-11-30/debate/main,102,Senator Eugene Murphy,Senator Eugene Murphy,"senator eugene murphy
          i thank the acting chairperson. it is nice to see him in the chair for this debate. i know how passionately he has spoken about this issue since i have come to the seanad. it is appropriate that he is in the chair.
           i welcome the minister to the house on behalf of the fianna fáil party. we welcome this discussion today. even though it is just a discussion on the mother and baby institutions, it is so important that we use every opportunity to assure and to reassure the people that we are taking this matter seriously and that we are moving swiftly on it. sometimes when a government comes into power, such matters are addressed and it says it is going to do this, that and the other. however, in fairness, there has been swift action on this matter. i am sure that will continue.
           earlier this year the taoiseach apologised for this terrible episode. he said at that time that the state did not uphold its duty of care and thereby failed these women and children. he acknowledged that an apology alone was not enough but only a first step. the minister said today, as did the minister of state, deputy rabbitte earlier this week, that there are no easy answers when it comes to providing a remedy to the significant grief and anguish caused to the women and children who spent time in these institutions. my good colleague, senator warfield, and i were just discussing this outside before the debate started. it is heartbreaking for the people who went through all of this.
           in many respects, it is not possible to replace what has been lost to survivors. no financial reward or no service provision can take back the hurt, the loss and the distress that were suffered through decades of failure. nevertheless, the government is earnest in its wish to provide an enduring response to the priority needed for all concerned.
           the government made a number of commitments in january 2021 to respond to the priority needs and concerns of those who spent time in those institutions. in the 11 months since the report of the commission of investigation was published, we have seen the advanced legislation to allow the exhumation at tuam. we have seen the draft legislation allowing access to birth and early life information and to open the commission’s archive to more than 300 survivors. as the minister said, work is under way to establish a national memorial and records centre related to institutional trauma during the 20th century, as well as the creation of a children's fund to honour the memory of the children who died in mother and baby homes by providing supports to children who experience disadvantage in the present day.
           on 16 november 2021, the government approved proposals for the mother and baby institutions payment scheme and published an action plan for survivors and former residents of mother and baby county homes institutions. as said by the minister, he will provide approximately 34,000 former residents of the institutions with a financial payment and 19,000 with an enhanced medical card. it goes well beyond the recommendation in the final report of the commission of investigation. in terms of estimated beneficiaries it will be the largest scheme ever of this type in the history of the state, valued at €800 million. people might say that there is a lot more to this than the financial aspect of it. however, the financial aspect is truly important as well.
           i trust the government will act swiftly to progress the legislation underpinning the scheme and will design it so that applications from older and vulnerable survivors will be prioritised. consultations with survivors highlighted that they wanted the scheme, as the minister said, that is non-adversarial, simple and based on trust. adopting an approach that does not require applicants to bring forward evidence of abuse or harm suffered was the aim of mitigating to the greatest extent possible the risk that applicants would be retraumatised by engaging with that process. to achieve this goal, the payments will be based on residency, as members will know.
           significant contributions will be sought from the relevant religious congregations towards the cost of the scheme, and i welcome that as well. this is one element of the overall government response to the needs of survivors through a variety of commitments, including counselling for all, access to information and records, memoralisation, financial payments, health support and other key initiatives. the government is committed to advancing those actions in a survivors-centred manner and to ongoing engagement with dialogue with survivors.
           this is an important debate. it is important that we continue to discuss these things. i welcome the minister’s statement this evening. as i said earlier, i hope things will move swiftly for the sake of the people who have suffered way too much."
