date,house,debateType,debate_uri,xml_uri
2010-12-17,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2010-12-17/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2010-12-17/debate/mul@/main.xml
2010-12-16,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2010-12-16/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2010-12-16/debate/mul@/main.xml
2010-12-16,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_the_environment_heritage_and_local_government/2010-12-16/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_the_environment_heritage_and_local_government/2010-12-16/debate/mul@/main.xml
2010-12-16,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_european_scrutiny/2010-12-16/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_european_scrutiny/2010-12-16/debate/mul@/main.xml
2010-12-16,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_education_and_skills/2010-12-16/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_education_and_skills/2010-12-16/debate/mul@/main.xml
2010-12-16,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2010-12-16/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2010-12-16/debate/mul@/main.xml
2010-12-16,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2010-12-16/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2010-12-16/debate/mul@/main.xml
2010-12-15,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_foreign_affairs/2010-12-15/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_foreign_affairs/2010-12-15/debate/mul@/main.xml
2010-12-15,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_communications_energy_and_natural_resources/2010-12-15/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_communications_energy_and_natural_resources/2010-12-15/debate/mul@/main.xml
2010-12-15,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_the_environment_heritage_and_local_government/2010-12-15/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/select_committee_on_the_environment_heritage_and_local_government/2010-12-15/debate/mul@/main.xml
