fullName,firstName,lastName,gender,house,constituency,party,role,uri,membership_start,membership_end
Henry J. J. Abbott,Henry J. J.,Abbott,,25th Dáil,Longford-Westmeath,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Henry-J-J-Abbott.D.1987-03-10,1987-03-10,1989-05-25
Caroline Acheson,Caroline,Acheson,,22nd Dáil,Tipperary South,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Caroline-Acheson.D.1981-06-30,1981-06-30,1982-02-27
Gerry Adams,Gerry,Adams,,32nd Dáil,Louth,Sinn Féin,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Gerry-Adams.D.2011-03-09,2016-03-10,2020-01-14
Gerry Adams,Gerry,Adams,,31st Dáil,Louth,Sinn Féin,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Gerry-Adams.D.2011-03-09,2011-03-09,2016-03-09
Patrick Agnew,Patrick,Agnew,,22nd Dáil,Louth,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Patrick-Agnew.D.1981-06-30,1981-06-30,1982-02-27
Garret Ahearn,Garret,Ahearn,,26th Seanad,Administrative Panel,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Garret-Ahearn.S.2020-03-30,2020-03-30,2025-01-29
Garret Ahearn,Garret,Ahearn,,27th Seanad,Administrative Panel,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Garret-Ahearn.S.2020-03-30,2025-01-29,
Theresa Ahearn,Theresa,Ahearn,,28th Dáil,Tipperary South,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Theresa-Ahearn.D.1989-06-29,1997-06-26,2000-09-20
Theresa Ahearn,Theresa,Ahearn,,27th Dáil,Tipperary South,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Theresa-Ahearn.D.1989-06-29,1992-12-14,1997-05-15
Theresa Ahearn,Theresa,Ahearn,,26th Dáil,Tipperary South,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Theresa-Ahearn.D.1989-06-29,1989-06-29,1992-11-05
Bertie Ahern,Bertie,Ahern,,30th Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,2007-06-14,2011-02-01
Bertie Ahern,Bertie,Ahern,,29th Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,2002-06-06,2007-04-30
Bertie Ahern,Bertie,Ahern,,28th Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1997-06-26,2002-04-25
Bertie Ahern,Bertie,Ahern,,27th Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1992-12-14,1997-05-15
Bertie Ahern,Bertie,Ahern,,26th Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1989-06-29,1992-11-05
Bertie Ahern,Bertie,Ahern,,25th Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1987-03-10,1989-05-25
Bertie Ahern,Bertie,Ahern,,24th Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1982-12-14,1987-01-21
Bertie Ahern,Bertie,Ahern,,23rd Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1982-03-09,1982-11-04
Bertie Ahern,Bertie,Ahern,,22nd Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1981-06-30,1982-02-27
Bertie Ahern,Bertie,Ahern,,21st Dáil,Dublin Finglas,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1977-07-05,1981-05-21
Ciarán Ahern,Ciarán,Ahern,,34th Dáil,Dublin South-West,Labour Party,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Ciarán-Ahern.D.2024-11-29,2024-11-29,
Dermot Ahern,Dermot,Ahern,,30th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Dermot-Ahern.D.1987-03-10,2007-06-14,2011-02-01
Dermot Ahern,Dermot,Ahern,,29th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Dermot-Ahern.D.1987-03-10,2002-06-06,2007-04-30
Dermot Ahern,Dermot,Ahern,,28th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Dermot-Ahern.D.1987-03-10,1997-06-26,2002-04-25
Dermot Ahern,Dermot,Ahern,,27th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Dermot-Ahern.D.1987-03-10,1992-12-14,1997-05-15
Dermot Ahern,Dermot,Ahern,,26th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Dermot-Ahern.D.1987-03-10,1989-06-29,1992-11-05
Dermot Ahern,Dermot,Ahern,,25th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Dermot-Ahern.D.1987-03-10,1987-03-10,1989-05-25
Kathleen Ahern,Kathleen,Ahern,,21st Dáil,Kerry North,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Kathleen-Ahern.S.1964-11-25,1977-07-05,1981-05-21
Kathleen Ahern,Kathleen,Ahern,,13th Seanad,Cultural and Educational Panel,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Kathleen-Ahern.S.1964-11-25,1973-06-01,1977-05-26
Kathleen Ahern,Kathleen,Ahern,,12th Seanad,Cultural and Educational Panel,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Kathleen-Ahern.S.1964-11-25,1969-11-05,1973-03-30
Kathleen Ahern,Kathleen,Ahern,,11th Seanad,Nominated by the Taoiseach,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Kathleen-Ahern.S.1964-11-25,1965-06-23,1969-07-24
Kathleen Ahern,Kathleen,Ahern,,10th Seanad,Nominated by the Taoiseach,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Kathleen-Ahern.S.1964-11-25,1964-11-25,1965-04-28
Liam Ahern,Liam,Ahern,,20th Dáil,Cork North East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Liam-Ahern.S.1957-05-22,1973-03-14,1974-07-13
Liam Ahern,Liam,Ahern,,12th Seanad,Administrative Panel,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Liam-Ahern.S.1957-05-22,1969-11-05,1973-03-30
Liam Ahern,Liam,Ahern,,11th Seanad,Administrative Panel,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Liam-Ahern.S.1957-05-22,1965-06-23,1969-07-24
Liam Ahern,Liam,Ahern,,10th Seanad,Administrative Panel,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Liam-Ahern.S.1957-05-22,1961-12-14,1965-04-28
Liam Ahern,Liam,Ahern,,9th Seanad,Labour Panel,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Liam-Ahern.S.1957-05-22,1957-05-22,1961-09-01
Michael Ahern,Michael,Ahern,,30th Dáil,Cork East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Ahern.D.1982-03-09,2007-06-14,2011-02-01
Michael Ahern,Michael,Ahern,,29th Dáil,Cork East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Ahern.D.1982-03-09,2002-06-06,2007-04-30
Michael Ahern,Michael,Ahern,,28th Dáil,Cork East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Ahern.D.1982-03-09,1997-06-26,2002-04-25
Michael Ahern,Michael,Ahern,,27th Dáil,Cork East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Ahern.D.1982-03-09,1992-12-14,1997-05-15
Michael Ahern,Michael,Ahern,,26th Dáil,Cork East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Ahern.D.1982-03-09,1989-06-29,1992-11-05
Michael Ahern,Michael,Ahern,,25th Dáil,Cork East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Ahern.D.1982-03-09,1987-03-10,1989-05-25
Michael Ahern,Michael,Ahern,,24th Dáil,Cork East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Ahern.D.1982-03-09,1982-12-14,1987-01-21
Michael Ahern,Michael,Ahern,,23rd Dáil,Cork East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Ahern.D.1982-03-09,1982-03-09,1982-11-04
Noel Ahern,Noel,Ahern,,30th Dáil,Dublin North-West,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Noel-Ahern.D.1992-12-14,2007-06-14,2011-02-01
Noel Ahern,Noel,Ahern,,29th Dáil,Dublin North-West,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Noel-Ahern.D.1992-12-14,2002-06-06,2007-04-30
Noel Ahern,Noel,Ahern,,28th Dáil,Dublin North-West,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Noel-Ahern.D.1992-12-14,1997-06-26,2002-04-25
Noel Ahern,Noel,Ahern,,27th Dáil,Dublin North-West,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Noel-Ahern.D.1992-12-14,1992-12-14,1997-05-15
Frank Aiken,Frank,Aiken,,19th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1969-07-02,1973-02-05
Frank Aiken,Frank,Aiken,,18th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1965-04-21,1969-05-22
Frank Aiken,Frank,Aiken,,17th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1961-10-11,1965-03-18
Frank Aiken,Frank,Aiken,,16th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1957-03-20,1961-09-15
Frank Aiken,Frank,Aiken,,15th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1954-06-02,1957-02-12
Frank Aiken,Frank,Aiken,,14th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1951-06-13,1954-04-24
Frank Aiken,Frank,Aiken,,13th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1948-02-18,1951-05-07
Frank Aiken,Frank,Aiken,,12th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1944-06-09,1948-01-12
Frank Aiken,Frank,Aiken,,11th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1943-07-01,1944-05-10
Frank Aiken,Frank,Aiken,,10th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1938-06-30,1943-05-31
Frank Aiken,Frank,Aiken,,9th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1937-07-21,1938-05-27
Frank Aiken,Frank,Aiken,,8th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1933-02-08,1937-06-14
Frank Aiken,Frank,Aiken,,7th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1932-03-09,1933-01-02
Frank Aiken,Frank,Aiken,,6th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1927-10-11,1932-01-29
Frank Aiken,Frank,Aiken,,5th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1927-06-23,1927-08-25
Frank Aiken,Frank,Aiken,,4th Dáil,Louth,Republican,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Frank-Aiken.D.1923-09-19,1923-09-19,1927-05-23
William Aird,William,Aird,,34th Dáil,Laois,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/William-Aird.D.2024-11-29,2024-11-29,
William Patrick Aird,William Patrick,Aird,,6th Dáil,Leix-Offaly,Cumann na nGaedheal,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/William-Patrick-Aird.D.1927-10-11,1927-10-11,1931-10-31
Bernard Allen,Bernard,Allen,,30th Dáil,Cork North-Central,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bernard-Allen.D.1981-06-30,2007-06-14,2011-02-01
Bernard Allen,Bernard,Allen,,29th Dáil,Cork North-Central,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bernard-Allen.D.1981-06-30,2002-06-06,2007-04-30
Bernard Allen,Bernard,Allen,,28th Dáil,Cork North-Central,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bernard-Allen.D.1981-06-30,1997-06-26,2002-04-25
Bernard Allen,Bernard,Allen,,27th Dáil,Cork North-Central,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bernard-Allen.D.1981-06-30,1992-12-14,1997-05-15
Bernard Allen,Bernard,Allen,,26th Dáil,Cork North-Central,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bernard-Allen.D.1981-06-30,1989-06-29,1992-11-05
Bernard Allen,Bernard,Allen,,25th Dáil,Cork North-Central,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bernard-Allen.D.1981-06-30,1987-03-10,1989-05-25
Bernard Allen,Bernard,Allen,,24th Dáil,Cork North-Central,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bernard-Allen.D.1981-06-30,1982-12-14,1987-01-21
Bernard Allen,Bernard,Allen,,23rd Dáil,Cork North-Central,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bernard-Allen.D.1981-06-30,1982-03-09,1982-11-04
Bernard Allen,Bernard,Allen,,22nd Dáil,Cork North-Central,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bernard-Allen.D.1981-06-30,1981-06-30,1982-02-27
Denis Allen,Denis,Allen,,16th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Denis-Allen.D.1927-10-11,1957-03-20,1961-03-29
Denis Allen,Denis,Allen,,15th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Denis-Allen.D.1927-10-11,1954-06-02,1957-02-12
Denis Allen,Denis,Allen,,14th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Denis-Allen.D.1927-10-11,1951-06-13,1954-04-24
Denis Allen,Denis,Allen,,13th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Denis-Allen.D.1927-10-11,1948-02-18,1951-05-07
Denis Allen,Denis,Allen,,12th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Denis-Allen.D.1927-10-11,1944-06-09,1948-01-12
Denis Allen,Denis,Allen,,11th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Denis-Allen.D.1927-10-11,1943-07-01,1944-05-10
Denis Allen,Denis,Allen,,10th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Denis-Allen.D.1927-10-11,1938-06-30,1943-05-31
Denis Allen,Denis,Allen,,9th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Denis-Allen.D.1927-10-11,1937-07-21,1938-05-27
Denis Allen,Denis,Allen,,8th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Denis-Allen.D.1927-10-11,1936-08-17,1937-06-14
Denis Allen,Denis,Allen,,7th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Denis-Allen.D.1927-10-11,1932-03-09,1933-01-02
Denis Allen,Denis,Allen,,6th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Denis-Allen.D.1927-10-11,1927-10-11,1932-01-29
Lorcan Allen,Lorcan,Allen,,23rd Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Lorcan-Allen.D.1961-10-11,1982-03-09,1982-11-04
Lorcan Allen,Lorcan,Allen,,22nd Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Lorcan-Allen.D.1961-10-11,1981-06-30,1982-02-27
Lorcan Allen,Lorcan,Allen,,21st Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Lorcan-Allen.D.1961-10-11,1977-07-05,1981-05-21
Lorcan Allen,Lorcan,Allen,,20th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Lorcan-Allen.D.1961-10-11,1973-03-14,1977-05-25
Lorcan Allen,Lorcan,Allen,,19th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Lorcan-Allen.D.1961-10-11,1969-07-02,1973-02-05
Lorcan Allen,Lorcan,Allen,,18th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Lorcan-Allen.D.1961-10-11,1965-04-21,1969-05-22
Lorcan Allen,Lorcan,Allen,,17th Dáil,Wexford,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Lorcan-Allen.D.1961-10-11,1961-10-11,1965-03-18
Bryan Alton,Bryan,Alton,,12th Seanad,National University of Ireland,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bryan-G-Alton.S.1965-06-23,1969-11-05,1973-03-30
Bryan Alton,Bryan,Alton,,11th Seanad,National University of Ireland,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bryan-G-Alton.S.1965-06-23,1965-06-23,1969-07-24
Ernest H. Alton,Ernest H.,Alton,,3rd Seanad,University of Dublin,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Ernest-H-Alton.D.1922-09-09,1938-09-07,1943-07-14
Ernest H. Alton,Ernest H.,Alton,,2nd Seanad,University of Dublin,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Ernest-H-Alton.D.1922-09-09,1938-04-27,1938-07-22
Ernest H. Alton,Ernest H.,Alton,,8th Dáil,Dublin University,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Ernest-H-Alton.D.1922-09-09,1933-02-08,1937-06-14
Ernest H. Alton,Ernest H.,Alton,,7th Dáil,Dublin University,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Ernest-H-Alton.D.1922-09-09,1932-03-09,1933-01-02
Ernest H. Alton,Ernest H.,Alton,,6th Dáil,Dublin University,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Ernest-H-Alton.D.1922-09-09,1927-10-11,1932-01-29
Ernest H. Alton,Ernest H.,Alton,,5th Dáil,Dublin University,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Ernest-H-Alton.D.1922-09-09,1927-06-23,1927-08-25
Ernest H. Alton,Ernest H.,Alton,,4th Dáil,Dublin University,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Ernest-H-Alton.D.1922-09-09,1923-09-19,1927-05-23
Ernest H. Alton,Ernest H.,Alton,,3rd Dáil,Dublin University,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Ernest-H-Alton.D.1922-09-09,1922-09-09,1923-08-09
Barry Andrews,Barry,Andrews,,30th Dáil,Dún Laoghaire,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Barry-Andrews.D.2002-06-06,2007-06-14,2011-02-01
Barry Andrews,Barry,Andrews,,29th Dáil,Dún Laoghaire,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Barry-Andrews.D.2002-06-06,2002-06-06,2007-04-30
Chris Andrews,Chris,Andrews,,30th Dáil,Dublin South-East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Chris-Andrews.D.2007-06-14,2007-06-14,2011-02-01
Chris Andrews,Chris,Andrews,,33rd Dáil,Dublin Bay South,Sinn Féin,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Chris-Andrews.D.2007-06-14,2020-02-08,2024-11-08
Chris Andrews,Chris,Andrews,,27th Seanad,Labour Panel,Sinn Féin,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Chris-Andrews.D.2007-06-14,2025-01-29,
David Andrews,David,Andrews,,28th Dáil,Dún Laoghaire,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/David-Andrews.D.1965-04-21,1997-06-26,2002-04-25
David Andrews,David,Andrews,,27th Dáil,Dún Laoghaire,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/David-Andrews.D.1965-04-21,1992-12-14,1997-05-15
David Andrews,David,Andrews,,26th Dáil,Dún Laoghaire,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/David-Andrews.D.1965-04-21,1989-06-29,1992-11-05
David Andrews,David,Andrews,,25th Dáil,Dún Laoghaire,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/David-Andrews.D.1965-04-21,1987-03-10,1989-05-25
David Andrews,David,Andrews,,24th Dáil,Dún Laoghaire,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/David-Andrews.D.1965-04-21,1982-12-14,1987-01-21
David Andrews,David,Andrews,,23rd Dáil,Dún Laoghaire,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/David-Andrews.D.1965-04-21,1982-03-09,1982-11-04
David Andrews,David,Andrews,,22nd Dáil,Dún Laoghaire,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/David-Andrews.D.1965-04-21,1981-06-30,1982-02-27
David Andrews,David,Andrews,,21st Dáil,Dún Laoghaire,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/David-Andrews.D.1965-04-21,1977-07-05,1981-05-21
David Andrews,David,Andrews,,20th Dáil,Dún Laoghaire and Rathdown,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/David-Andrews.D.1965-04-21,1973-03-14,1977-05-25
David Andrews,David,Andrews,,19th Dáil,Dún Laoghaire and Rathdown,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/David-Andrews.D.1965-04-21,1969-07-02,1973-02-05
David Andrews,David,Andrews,,18th Dáil,Dún Laoghaire and Rathdown,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/David-Andrews.D.1965-04-21,1965-04-21,1969-05-22
Niall Andrews,Niall,Andrews,,24th Dáil,Dublin South,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Niall-Andrews.D.1977-07-05,1982-12-14,1987-01-21
Niall Andrews,Niall,Andrews,,23rd Dáil,Dublin South,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Niall-Andrews.D.1977-07-05,1982-03-09,1982-11-04
Niall Andrews,Niall,Andrews,,22nd Dáil,Dublin South,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Niall-Andrews.D.1977-07-05,1981-06-30,1982-02-27
Niall Andrews,Niall,Andrews,,21st Dáil,Dublin County South,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Niall-Andrews.D.1977-07-05,1977-07-05,1981-05-21
Richard Sidney Anthony,Richard Sidney,Anthony,,8th Seanad,Labour Panel,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Richard-Sidney-Anthony.D.1927-06-23,1954-07-22,1957-03-28
Richard Sidney Anthony,Richard Sidney,Anthony,,6th Seanad,Labour Panel,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Richard-Sidney-Anthony.D.1927-06-23,1948-04-21,1951-07-25
Richard Sidney Anthony,Richard Sidney,Anthony,,12th Dáil,Cork Borough,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Richard-Sidney-Anthony.D.1927-06-23,1944-06-09,1948-01-12
Richard Sidney Anthony,Richard Sidney,Anthony,,11th Dáil,Cork Borough,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Richard-Sidney-Anthony.D.1927-06-23,1943-07-01,1944-05-10
Richard Sidney Anthony,Richard Sidney,Anthony,,9th Dáil,Cork Borough,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Richard-Sidney-Anthony.D.1927-06-23,1937-07-21,1938-05-27
Richard Sidney Anthony,Richard Sidney,Anthony,,8th Dáil,Cork Borough,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Richard-Sidney-Anthony.D.1927-06-23,1933-02-08,1937-06-14
Richard Sidney Anthony,Richard Sidney,Anthony,,7th Dáil,Cork Borough,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Richard-Sidney-Anthony.D.1927-06-23,1932-03-09,1933-01-02
