"T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","speaker_norm","party","in_government","date","Managerial","Exploratory"
0.146315930661731,0.0846440442822546,0.00883382442242233,0.0177415765857243,0.00904929800994886,0.00999031558407517,0.0818231084726146,0.0498266811515783,0.00860746724979032,0.00954134145006017,0.0234471220146434,0.0158557614081452,0.00892122722726562,0.00536799576520225,0.000729346895645992,0.259439342132081,0.0635572542977832,0.00216002428990753,0.0615409955787178,0.07383292777402,0.0504868428611149,0.00828757188527356,"maureen o'sullivan","Independent","1",2016-12-14,0.228296960811523,0.524685844458636
0.0661557942202268,0.00689321430866532,0.00323514315215187,0.0118911086265498,0.022042585139582,0.183802695827177,0.0778930123154455,0.0741225780205865,0.0073733712492202,0.0385463035825224,0.00270955432121917,0.000821552340625362,0.025257173533062,0.00096289458232158,0.000993528992954904,0.0383845586175216,0.383747611150154,0.00154755622206161,0.0150668922693015,0.0180473780771359,0.0174783310761079,0.00302716237540815,"katherine zappone","Independent","1",2016-12-14,0.536071329129391,0.272966660510239
0.094244132345142,0.0151641797570021,0.00605402587371892,0.008726611070056,0.00702578589121192,0.00829706155881591,0.055728221063113,0.0117314726471498,0.00488454571783072,0.00552390494407876,0.00876956058478845,0.00599890177967295,0.00371246717152187,0.00673415412559597,0.00268357999272761,0.211330959273117,0.265421393939061,0.00713055567088692,0.0647452984802918,0.112835619191028,0.0860813082553102,0.00717626066787966,"maureen o'sullivan","Independent","1",2016-12-14,0.416187504035624,0.420748111901484
0.0446525778871742,0.00565766930198656,0.0913938662202994,0.00667530753644971,0.00940234307566045,0.00895348600756123,0.0777558037716404,0.00169016538149476,0.00430223585917281,0.0577641332385751,0.232389940026959,0.00571740531955216,0.00233791274592499,0.00672376772829589,0.000580459258396394,0.0610594281606853,0.0574518570304691,0.125292950929187,0.09631642199071,0.0125562597827738,0.0245608510037619,0.0667651577432697,"maire devine","Sinn Féin","0",2016-11-17,0.0968376132810686,0.718107176703973
0.0268428001848119,0.0124616839258174,0.307250018793928,0.00621256604312663,0.000190547866518336,1.3227955750682e-13,0.0490328336875362,2.19111036522814e-09,0.00593586532947838,7.12059107966128e-11,0.00328199973289612,0.0156769987955068,0.0374105225359034,0.0085411791966931,0.0129019739787052,0.118128958180919,1.58505451059641e-09,0.327549813834079,0.052464301369023,1.11868675069541e-16,1.40787158443059e-07,0.0161177919103966,"ruth coppinger","Anti-Austerity Alliance - People Before Profit","0",2016-11-17,0.0523548194184064,0.852931707329856
0.0330684995792233,0.00345745149947097,0.0049777940805999,0.0170626300731843,0.00289315231370888,0.0084559886853394,0.0520794373126424,0.00278106868942464,0.00481396067530916,0.00272724155345881,0.221586326535079,0.00505256588390716,0.037325876717083,0.204738528761781,0.00117383008999605,0.0967760555330828,0.053768498617678,0.0030266613032705,0.00950087588888906,0.206425103916935,0.0118681009754368,0.0164403513145004,"victor boyhan","Independent","1",2016-11-16,0.524994859089795,0.381142171699576
0.0202712247507474,0.00275494818725099,0.00515870735602358,0.00213461422242766,0.0058811497873575,0.00516287842436708,0.014022903934108,0.00521289546806194,0.00100849042265873,0.00283919040363678,0.00518536889649624,0.004786683706086,0.000259145670418464,0.00138451897081778,0.00324240793218466,0.059388995782394,0.140975953609059,0.391790929189985,0.267364407268892,0.0143179310197095,0.00595466515105027,0.0409019898462668,"thomas pringle","Independent","1",2016-11-03,0.170166208747852,0.788449573808812
0.0312226588641105,0.00878473269661197,0.0355226020659645,0.00302558755085841,0.00874516352662851,0.0149398014381616,0.0195986570596965,0.0110838407393367,0.0274857834083146,0.00597960716387131,0.00825688461708147,0.0132129994559939,0.00169473109877294,0.0839392149324151,0.00579386700272465,0.272242758482601,0.0572009146349782,0.0217256423337745,0.26840970564459,0.0418420938869827,0.00583680107294831,0.0534559523235826,"enda kenny","Fine Gael","1",2016-10-26,0.207531546369973,0.70238788013131
0.00332842604671189,0.000287237248420174,0.000886611686301244,0.000547690681353674,0.753207268334754,0.0437183451464021,0.00310063010462736,0.00316853791162709,0.0150430334005803,0.00208088952004084,4.15634096217423e-05,0.00391049474920924,0.00500055963429806,0.00158686930763203,0.0013004927747312,0.0673261130005526,0.00931923389613681,0.0503353667926333,0.00046210843764108,0.0342201533628041,0.000735702293212413,0.000392672260709311,"katherine zappone","Independent","1",2016-10-05,0.807050313128605,0.168096215024703
0.0648905469593706,0.00427131113359486,0.00115927760928698,0.00664627152359877,0.0144049442260186,0.00325954366754159,0.16909758054551,0.00369313991433774,0.00265684732973046,0.00533021120894641,0.00371504972961069,0.000652641731771324,0.00351998559118525,0.00130855109203053,0.000110760180268123,0.0336973165027242,0.651196389134635,0.000892247477298818,0.00941464754795685,0.0144247790347019,0.00470461981544476,0.000953338044435418,"katherine zappone","Independent","1",2016-07-21,0.695194060516508,0.0627199932596655
0.0340623361905562,0.0205423476047175,0.0109494988221484,0.0049768135984536,0.00147826164681533,0.024682724644334,0.0145886166874177,0.00605286363785961,0.0886754172783528,0.00778935670013175,0.227439670707549,0.01370403032233,0.00286758780343881,0.000872513386415623,0.00146045628265136,0.416432886022522,0.0129020871785341,0.00212685003198384,0.0613379453825426,0.0177688403953318,0.00549297883733698,0.0237959168385765,"clare daly","Independents 4 Change","0",2016-07-21,0.0469189676468489,0.806504849214041
0.0162640752613387,0.0018129053931536,0.0010861871580048,0.00373284911228142,0.74899248194343,0.00356801721445876,0.0689801711199618,0.00513312664465457,0.00285313591508286,0.00340278192592144,0.000454455219880667,0.00105879786058548,0.00273257335352549,0.00293755767577056,0.00016033107523943,0.0629670931583156,0.0557705494160134,0.00402471363550281,0.00104287557482711,0.00914430014860075,0.00319735695123519,0.000683664242214509,"katherine zappone","Independent","1",2016-06-29,0.828443438294277,0.0798960664081786
0.126231904716893,0.00863490642458105,0.0166299795267899,0.0164270330394653,0.216880864132326,0.0133156930210831,0.129226735995823,0.00646695324608695,0.00798774372081868,0.00233762451721479,0.00835627069017392,0.0107780709820763,0.0243382336090465,0.0219223743670831,0.00163877631600574,0.15743229683474,0.102881219614854,0.00940101258682734,0.00999735252568341,0.102178369557679,0.00331117578661055,0.00362540878813829,"anne rabbitte","Fianna Fáil","0",2016-06-29,0.491095047566541,0.241482167166704
0.0344313567275787,0.00461899587775561,0.00924183141983719,0.004529607637953,0.338781967659071,0.0948913684425189,0.0240528978111347,0.0119752950600347,0.0599994864951432,0.00866481272096333,0.00237111869223362,0.00406280851812753,0.00671881423417613,0.00185998006883024,0.000836353340023285,0.307612030624449,0.0509591714084166,0.00599147109618859,0.00418963945844906,0.0181709483813258,0.00413335664231474,0.00190668768347517,"donnchadh o laoghaire","Sinn Féin","0",2016-06-29,0.432995784449807,0.43901930845535
0.0170001638946425,0.00269775275029748,0.00188931403950282,0.00266455782974666,0.325248938940352,0.015518772349386,0.0979505443661676,0.00372966218725997,0.00737366450178979,0.0126831197192489,0.000730498503255653,0.00295503053778228,0.00191310567283858,0.00316701602862483,0.000459714253326543,0.106657301205735,0.259304252672379,0.0239086009864008,0.0108379625403842,0.0969285508686473,0.00545120760739483,0.000930268544836407,"katherine zappone","Independent","1",2016-06-29,0.692956084199849,0.171576709064976
0.151645667242996,0.0266327177225485,0.152059024619224,0.0085105177331591,0.0127943046677063,0.0120164004917917,0.0201564302800808,0.00527441543489073,0.00875671896384475,0.0024604239179398,0.119168779598027,0.119506365457806,0.00791880860650312,0.00612849279332156,0.0026753474043562,0.0760243642063578,0.0503891514897519,0.00686066557302202,0.128926020546044,0.0638059163345815,0.00850025947194397,0.00978920744410261,"mary lou mcdonald","Sinn Féin","0",2016-05-25,0.154821607059914,0.659483805130868
0.0130191401069415,0.00105023141186423,0.0065594635104932,0.00204993230200338,0.0340458472574272,0.240218662951325,0.00323207610466534,0.00227625242542889,0.209075741825763,0.000749898584261912,0.0166429246174066,0.180691709087754,0.0135873452641317,0.0486160833286883,0.00451513064225112,0.0387830700662449,0.00870886625809633,0.0299854987330389,0.00956390829691353,0.130886796732998,0.000636559300262929,0.00510486119204041,"shane cassells","Fianna Fáil","0",2016-05-18,0.240171123568774,0.529236889167344
0.00956398720402678,0.000857397145779694,0.00581720047323745,0.000543635835673933,0.0497483710271393,0.331241999984584,0.00216326802966168,0.00284377776467668,0.224937552959304,0.000669492485313422,0.00154623685231364,0.331275916017772,0.00537534213777237,0.000580955074496827,0.0016186165685073,0.00994108690855246,0.00406781842220056,0.00390456248814944,0.00269054467048523,0.0096251637157024,0.000346374772301378,0.00064069946235013,"fiona o'loughlin","Fianna Fáil","0",2016-05-18,0.072785063977662,0.688262018775525
0.00776757301208263,0.000630503919614809,0.0229847908580109,0.000461036389121479,0.0747311087863842,0.484370955699773,0.00365763615640809,0.00184562568094766,0.170102514408214,0.00140105914140345,0.000314018764066105,0.0802001618111831,0.0214830143769022,0.000585280822034388,0.0048523398728997,0.0699409936568877,0.0172151922983763,0.00453807397573409,0.00176780948122048,0.0301683132906547,0.000305220752542129,0.000676776845538573,"robert troy","Fianna Fáil","0",2016-05-17,0.146489571644421,0.665729305764571
0.00741433533931496,0.000810427084501664,0.011126172345065,0.00049455379583909,0.0568881054362856,0.341939983102602,0.00555658946847234,0.000214854885292952,0.116105521468564,0.0011325465799425,0.00128297197534471,0.116994895050045,0.00136151601973872,0.000517024097024996,0.00335483765937943,0.0687665083182826,0.0342856074746095,0.0155766492131515,0.00493218825622174,0.0976304124307864,0.112909713125011,0.000704586874524013,"donnchadh o laoghaire","Sinn Féin","0",2016-05-17,0.191392074139577,0.67504409534475
0.0176087852662257,0.00275312851340427,0.0272416083157544,0.000475044432950618,0.0355622469208605,0.124078395274577,0.0167608156192513,0.0291378711261656,0.00373667295735306,0.00214319530994053,0.00319026112364525,0.0251522629496329,0.00145388329957273,0.00159607677674093,0.0084642889975984,0.0919374178637714,0.244451519060538,0.136823842737712,0.196413439333392,0.0183500451344607,0.00613984075731118,0.00652935822914116,"enda kenny","Fine Gael","1",2016-02-02,0.331026686751289,0.620259555098342
0.0129429999257621,0.00220878673983061,0.0158458413294993,0.000385642322580023,0.0028561628293874,0.0136091749428814,0.00761817153417847,0.00106156606249541,0.00154552788551626,0.000936656498822704,0.00261568988378656,0.00552712686423429,0.000243669486449116,0.000995068295347755,0.0027597730529458,0.144287521802249,0.0660655766006262,0.438557950213035,0.166550185170369,0.0507376946348487,0.059460512667416,0.00318870125773882,"maureen o'sullivan","Independent","0",2016-02-02,0.122345380231735,0.85185149087104
0.0692703560482797,0.00634203450312799,0.217450983192782,0.00226302112817061,0.157609657881572,0.0530316677125106,0.0693033205532409,0.0127387130271373,0.0467426207943002,0.00581536024338618,0.00420924685620563,0.00473874932867446,0.0524696699077441,0.0182505461835508,0.00399328563102564,0.0843620888128824,0.124235237524738,0.00682784171183381,0.00951959656188298,0.0413825938929959,0.00463609593228498,0.00480731257167353,"robert troy","Fianna Fáil","0",2016-01-13,0.408949439545908,0.395925617183859
0.0650994365920109,0.0841198577000446,0.0105498321643895,0.00738563489355912,0.345219072946804,0.00537846422039055,0.104742185868768,0.12581007110062,0.00865200918478741,0.0521779539181708,0.00310343297950694,0.00262444334442146,0.0131003922238915,0.00950773551197527,0.000231825566161739,0.0878860977956086,0.0115375696987647,0.00200516773299318,0.0201716834553098,0.0375498083847935,0.000776770610040245,0.0023705541069873,"paul mcauliffe","Fianna Fáil","1",2020-12-17,0.550110284760408,0.218986304109692
0.0928674686626901,0.0683094297070992,0.026967377267346,0.0101659863783934,0.0987367467013767,0.00626078339038375,0.10612455000735,0.0579943090614254,0.00808978442239537,0.0698922751745062,0.00914817898021454,0.00659631359938471,0.016947117675777,0.0910910238190663,0.000739922829544235,0.206110567706835,0.00942034073125379,0.00668310953127485,0.0385100408076293,0.0605013098608381,0.00198973834488233,0.00685362534033376,"paul mcauliffe","Fianna Fáil","1",2020-12-17,0.34485683422813,0.377429164675383
0.0975279438977875,0.156019853483509,0.00482212949233292,0.0220385210824948,0.0547217886437149,0.0224571014407794,0.141147345184567,0.0196295552529564,0.00908803580522218,0.122987700070284,0.0170978539796626,0.00635042128735653,0.00369655776318254,0.0042136349163887,0.000102536925433399,0.21526049292698,0.0132105863045041,0.00371038286945872,0.0445026091300768,0.0325224763909215,0.0062382161152889,0.00265425703709788,"catherine hynes","Guest Speaker","0",2020-12-17,0.150033120354163,0.479113317762543
0.0180951252888439,0.0044887552184824,0.0406394294780044,0.00352841791525837,0.00307230116723531,0.410901520591844,0.0243803326031526,0.0110608098198219,0.00607125644080634,0.0329613567055245,0.00122132462038538,0.00243948503391275,0.107202842217093,0.00249553547904074,0.00183688065815315,0.263633620667329,0.00135882251656121,0.00366557753319536,0.00439647579292786,0.0460626052828533,0.0088866853950301,0.00160083957454376,"ronan mullen","Independent","0",2020-12-11,0.174781334397864,0.741873713905656
