"month","in_government","Regime","Score","Role"
2015-09-01,"0","Managerial",0.0689254475747602,"Opposition"
2015-10-01,"0","Exploratory",0.56987809221873,"Opposition"
2015-10-01,"0","Managerial",0.191019950768177,"Opposition"
2015-11-01,"0","Exploratory",0.511184891900978,"Opposition"
2015-11-01,"0","Managerial",0.132501467353575,"Opposition"
2015-11-01,"1","Exploratory",0.308981435261992,"Government"
2015-11-01,"1","Managerial",0.44638712537677,"Government"
2015-12-01,"0","Exploratory",0.585046713921509,"Opposition"
2015-12-01,"0","Managerial",0.327920008436188,"Opposition"
2016-01-01,"0","Exploratory",0.395925617183859,"Opposition"
2016-01-01,"0","Managerial",0.408949439545908,"Opposition"
2016-02-01,"0","Exploratory",0.85185149087104,"Opposition"
2016-02-01,"0","Managerial",0.122345380231735,"Opposition"
2016-02-01,"1","Exploratory",0.620259555098342,"Government"
2016-02-01,"1","Managerial",0.331026686751289,"Government"
2016-05-01,"0","Exploratory",0.643551222836612,"Opposition"
2016-05-01,"0","Managerial",0.16113188807807,"Opposition"
2016-06-01,"0","Exploratory",0.340250737811027,"Opposition"
2016-06-01,"0","Managerial",0.462045416008174,"Opposition"
2016-06-01,"1","Exploratory",0.125736387736577,"Government"
2016-06-01,"1","Managerial",0.760699761247063,"Government"
2016-07-01,"0","Exploratory",0.806504849214041,"Opposition"
2016-07-01,"0","Managerial",0.0469189676468489,"Opposition"
2016-07-01,"1","Exploratory",0.0627199932596655,"Government"
2016-07-01,"1","Managerial",0.695194060516508,"Government"
2016-10-01,"1","Exploratory",0.435242047578007,"Government"
2016-10-01,"1","Managerial",0.507290929749289,"Government"
2016-11-01,"0","Exploratory",0.785519442016914,"Opposition"
2016-11-01,"0","Managerial",0.0745962163497375,"Opposition"
2016-11-01,"1","Exploratory",0.584795872754194,"Government"
2016-11-01,"1","Managerial",0.347580533918823,"Government"
2016-12-01,"1","Exploratory",0.406133538956786,"Government"
2016-12-01,"1","Managerial",0.393518597992179,"Government"
2017-01-01,"0","Exploratory",0.756623194563535,"Opposition"
2017-01-01,"0","Managerial",0.0749745111690344,"Opposition"
2017-01-01,"1","Exploratory",0.649573587028021,"Government"
2017-01-01,"1","Managerial",0.136974563710392,"Government"
2017-02-01,"0","Exploratory",0.680790937960256,"Opposition"
2017-02-01,"0","Managerial",0.153041349241405,"Opposition"
2017-02-01,"1","Exploratory",0.693445750266672,"Government"
2017-02-01,"1","Managerial",0.109523679426083,"Government"
2017-03-01,"0","Exploratory",0.59241574185626,"Opposition"
2017-03-01,"0","Managerial",0.237973136436909,"Opposition"
2017-03-01,"1","Exploratory",0.485750995938075,"Government"
2017-03-01,"1","Managerial",0.407691870169287,"Government"
2017-04-01,"0","Exploratory",0.484409739372095,"Opposition"
2017-04-01,"0","Managerial",0.304520269488398,"Opposition"
2017-04-01,"1","Exploratory",0.483925172497692,"Government"
2017-04-01,"1","Managerial",0.29010559692104,"Government"
2017-05-01,"0","Exploratory",0.492749154239428,"Opposition"
2017-05-01,"0","Managerial",0.241622694044539,"Opposition"
2017-05-01,"1","Exploratory",0.333610249872332,"Government"
2017-05-01,"1","Managerial",0.466112911945232,"Government"
2017-06-01,"0","Exploratory",0.585148345074614,"Opposition"
2017-06-01,"0","Managerial",0.310490688286728,"Opposition"
2017-06-01,"1","Exploratory",0.422696533972583,"Government"
2017-06-01,"1","Managerial",0.391519588809843,"Government"
2017-07-01,"0","Exploratory",0.455697044840992,"Opposition"
2017-07-01,"0","Managerial",0.510741198834522,"Opposition"
2017-10-01,"0","Exploratory",0.49595407863282,"Opposition"
2017-10-01,"0","Managerial",0.255420940790612,"Opposition"
2017-10-01,"1","Exploratory",0.424668370237833,"Government"
2017-10-01,"1","Managerial",0.37958583900095,"Government"
2017-11-01,"0","Exploratory",0.327067076129058,"Opposition"
2017-11-01,"0","Managerial",0.552190140078131,"Opposition"
2017-11-01,"1","Exploratory",0.413276564932664,"Government"
2017-11-01,"1","Managerial",0.387703407520624,"Government"
2017-12-01,"0","Exploratory",0.237495892459642,"Opposition"
2017-12-01,"0","Managerial",0.61928900351683,"Opposition"
2017-12-01,"1","Exploratory",0.230619018370511,"Government"
2017-12-01,"1","Managerial",0.50717822340416,"Government"
2018-01-01,"0","Exploratory",0.233440693222198,"Opposition"
2018-01-01,"0","Managerial",0.0838680600462713,"Opposition"
2018-01-01,"1","Exploratory",0.374480204324499,"Government"
2018-01-01,"1","Managerial",0.147409312257437,"Government"
2018-02-01,"0","Exploratory",0.502534699550442,"Opposition"
2018-02-01,"0","Managerial",0.261490818663173,"Opposition"
2018-02-01,"1","Exploratory",0.438323771382873,"Government"
2018-02-01,"1","Managerial",0.400289248706277,"Government"
2018-03-01,"0","Exploratory",0.413840559578902,"Opposition"
2018-03-01,"0","Managerial",0.209727267589401,"Opposition"
2018-03-01,"1","Exploratory",0.343999225264706,"Government"
2018-03-01,"1","Managerial",0.297582368603577,"Government"
2018-04-01,"0","Exploratory",0.691810340892786,"Opposition"
2018-04-01,"0","Managerial",0.221685229330301,"Opposition"
2018-04-01,"1","Exploratory",0.137919743809208,"Government"
2018-04-01,"1","Managerial",0.821461174455321,"Government"
2018-05-01,"0","Exploratory",0.524027154418649,"Opposition"
2018-05-01,"0","Managerial",0.159780948119022,"Opposition"
2018-05-01,"1","Exploratory",0.306193051073868,"Government"
2018-05-01,"1","Managerial",0.317304198045797,"Government"
2018-06-01,"0","Exploratory",0.647670692692997,"Opposition"
2018-06-01,"0","Managerial",0.145806028374038,"Opposition"
2018-06-01,"1","Exploratory",0.349032678706913,"Government"
2018-06-01,"1","Managerial",0.220622149034312,"Government"
2018-07-01,"0","Exploratory",0.868040497853581,"Opposition"
2018-07-01,"0","Managerial",0.0996004011616876,"Opposition"
2018-07-01,"1","Exploratory",0.55160643038832,"Government"
2018-07-01,"1","Managerial",0.103263788835333,"Government"
2018-09-01,"0","Exploratory",0.522804122370312,"Opposition"
2018-09-01,"0","Managerial",0.201950029834152,"Opposition"
2018-09-01,"1","Exploratory",0.283419604901142,"Government"
2018-09-01,"1","Managerial",0.40078866080102,"Government"
2018-10-01,"0","Exploratory",0.437077917052073,"Opposition"
2018-10-01,"0","Managerial",0.328828388516897,"Opposition"
2018-10-01,"1","Exploratory",0.354222111246983,"Government"
2018-10-01,"1","Managerial",0.514214518351542,"Government"
2018-11-01,"0","Exploratory",0.132130666478005,"Opposition"
2018-11-01,"0","Managerial",0.609524125898479,"Opposition"
2018-11-01,"1","Exploratory",0.522134231504472,"Government"
2018-11-01,"1","Managerial",0.273248612924391,"Government"
2018-12-01,"1","Exploratory",0.388610478988955,"Government"
2018-12-01,"1","Managerial",0.220177040681469,"Government"
2019-01-01,"0","Exploratory",0.391651310822635,"Opposition"
2019-01-01,"0","Managerial",0.367471807446584,"Opposition"
2019-01-01,"1","Exploratory",0.341158361539517,"Government"
2019-01-01,"1","Managerial",0.344110175456848,"Government"
2019-02-01,"0","Exploratory",0.437286135617319,"Opposition"
2019-02-01,"0","Managerial",0.284213169002335,"Opposition"
2019-02-01,"1","Exploratory",0.272354999687348,"Government"
2019-02-01,"1","Managerial",0.462905841542222,"Government"
2019-03-01,"0","Exploratory",0.451422277454932,"Opposition"
2019-03-01,"0","Managerial",0.355820843447375,"Opposition"
2019-03-01,"1","Exploratory",0.279603392995546,"Government"
2019-03-01,"1","Managerial",0.475910281550224,"Government"
2019-04-01,"0","Exploratory",0.432322706986104,"Opposition"
2019-04-01,"0","Managerial",0.369392723241879,"Opposition"
2019-04-01,"1","Exploratory",0.699731182769874,"Government"
2019-04-01,"1","Managerial",0.135790998251001,"Government"
2019-05-01,"0","Exploratory",0.496625720066182,"Opposition"
2019-05-01,"0","Managerial",0.169039581203713,"Opposition"
2019-05-01,"1","Exploratory",0.244712762128425,"Government"
2019-05-01,"1","Managerial",0.442716228017417,"Government"
2019-06-01,"0","Exploratory",0.303299994736952,"Opposition"
2019-06-01,"0","Managerial",0.483824584761412,"Opposition"
2019-06-01,"1","Exploratory",0.331243373921634,"Government"
2019-06-01,"1","Managerial",0.342756235642899,"Government"
2019-07-01,"0","Exploratory",0.341521368170282,"Opposition"
2019-07-01,"0","Managerial",0.475644430038269,"Opposition"
2019-07-01,"1","Exploratory",0.359799034151471,"Government"
2019-07-01,"1","Managerial",0.377399914874887,"Government"
2019-09-01,"0","Exploratory",0.566038992405286,"Opposition"
2019-09-01,"0","Managerial",0.0700688491194597,"Opposition"
2019-09-01,"1","Exploratory",0.279837107209873,"Government"
2019-09-01,"1","Managerial",0.396408563238294,"Government"
2019-10-01,"0","Exploratory",0.618375205401954,"Opposition"
2019-10-01,"0","Managerial",0.113112585705037,"Opposition"
2019-10-01,"1","Exploratory",0.0795955933533539,"Government"
2019-10-01,"1","Managerial",0.860076701948104,"Government"
2019-11-01,"0","Exploratory",0.583707691341969,"Opposition"
2019-11-01,"0","Managerial",0.135882942227783,"Opposition"
2020-05-01,"1","Exploratory",0.448919047463344,"Government"
2020-05-01,"1","Managerial",0.238990861831811,"Government"
2020-07-01,"0","Exploratory",0.54412675338689,"Opposition"
2020-07-01,"0","Managerial",0.18041627046502,"Opposition"
2020-07-01,"1","Exploratory",0.477864733867284,"Government"
2020-07-01,"1","Managerial",0.2916412547649,"Government"
2020-09-01,"0","Exploratory",0.467551717129865,"Opposition"
2020-09-01,"0","Managerial",0.183192793166429,"Opposition"
2020-09-01,"1","Exploratory",0.117020403465186,"Government"
2020-09-01,"1","Managerial",0.514038559921047,"Government"
2020-10-01,"0","Exploratory",0.459676483589022,"Opposition"
2020-10-01,"0","Managerial",0.218045341563731,"Opposition"
2020-10-01,"1","Exploratory",0.181615243155834,"Government"
2020-10-01,"1","Managerial",0.390647185197117,"Government"
2020-11-01,"0","Exploratory",0.503882166642999,"Opposition"
2020-11-01,"0","Managerial",0.168591459756717,"Opposition"
2020-11-01,"1","Exploratory",0.260544375662817,"Government"
2020-11-01,"1","Managerial",0.320375502146786,"Government"
2020-12-01,"0","Exploratory",0.416101641624233,"Opposition"
2020-12-01,"0","Managerial",0.216712287970487,"Opposition"
2020-12-01,"1","Exploratory",0.17162173758927,"Government"
2020-12-01,"1","Managerial",0.580520498495992,"Government"
2021-01-01,"0","Exploratory",0.672425955096024,"Opposition"
2021-01-01,"0","Managerial",0.184807740517023,"Opposition"
2021-01-01,"1","Exploratory",0.510220976998713,"Government"
2021-01-01,"1","Managerial",0.292832928333733,"Government"
2021-02-01,"0","Exploratory",0.51435028344485,"Opposition"
2021-02-01,"0","Managerial",0.149753719371788,"Opposition"
2021-02-01,"1","Exploratory",0.280914509855188,"Government"
2021-02-01,"1","Managerial",0.437395292562865,"Government"
2021-03-01,"0","Exploratory",0.51330958002228,"Opposition"
2021-03-01,"0","Managerial",0.146636150914862,"Opposition"
2021-03-01,"1","Exploratory",0.293242655347383,"Government"
2021-03-01,"1","Managerial",0.413110408670823,"Government"
2021-04-01,"0","Exploratory",0.522698371234774,"Opposition"
2021-04-01,"0","Managerial",0.321009991568598,"Opposition"
2021-04-01,"1","Exploratory",0.299797895658719,"Government"
2021-04-01,"1","Managerial",0.528686547438252,"Government"
2021-05-01,"0","Exploratory",0.425109727216948,"Opposition"
2021-05-01,"0","Managerial",0.474142978971936,"Opposition"
2021-05-01,"1","Exploratory",0.324903031980634,"Government"
2021-05-01,"1","Managerial",0.517442182892878,"Government"
2021-06-01,"0","Exploratory",0.55685862280825,"Opposition"
2021-06-01,"0","Managerial",0.162841793205572,"Opposition"
2021-06-01,"1","Exploratory",0.284776225741207,"Government"
2021-06-01,"1","Managerial",0.358869962275285,"Government"
2021-07-01,"0","Exploratory",0.61413616424541,"Opposition"
2021-07-01,"0","Managerial",0.163883665365105,"Opposition"
2021-07-01,"1","Exploratory",0.541818808666959,"Government"
2021-07-01,"1","Managerial",0.2556564873242,"Government"
2021-09-01,"0","Exploratory",0.4561180129946,"Opposition"
2021-09-01,"0","Managerial",0.176116605213975,"Opposition"
2021-09-01,"1","Exploratory",0.209047860294534,"Government"
2021-09-01,"1","Managerial",0.364338636102616,"Government"
2021-10-01,"0","Exploratory",0.744227838630102,"Opposition"
2021-10-01,"0","Managerial",0.142988767895057,"Opposition"
2021-10-01,"1","Exploratory",0.17597853249411,"Government"
2021-10-01,"1","Managerial",0.489309650853391,"Government"
2021-11-01,"0","Exploratory",0.710767723274823,"Opposition"
2021-11-01,"0","Managerial",0.17617841139699,"Opposition"
2021-11-01,"1","Exploratory",0.303186258134969,"Government"
2021-11-01,"1","Managerial",0.494528036699229,"Government"
2021-12-01,"0","Exploratory",0.539779857555694,"Opposition"
2021-12-01,"0","Managerial",0.160531247004331,"Opposition"
2021-12-01,"1","Exploratory",0.281514207173225,"Government"
2021-12-01,"1","Managerial",0.588918152583062,"Government"
2022-01-01,"0","Exploratory",0.531879246253506,"Opposition"
2022-01-01,"0","Managerial",0.151693623118087,"Opposition"
2022-01-01,"1","Exploratory",0.337458643119062,"Government"
2022-01-01,"1","Managerial",0.338556301485957,"Government"
2022-02-01,"0","Exploratory",0.403355564977332,"Opposition"
2022-02-01,"0","Managerial",0.299687612035931,"Opposition"
