quarter,in_government,parlasent_sentiment,survivor_similarity,speech_count
2010-10-01,0,1.9420868966947584,0.36300868,1
2010-10-01,1,2.103628273397746,0.35962525,2
2011-04-01,1,2.4960326552391052,0.36356983,1
2011-07-01,0,1.1865386532429847,0.434120085,2
2011-07-01,1,2.846759352394763,0.3910731,1
2011-10-01,0,1.9629247665405272,0.24707702,1
2011-10-01,1,1.9735365029705303,0.31528825250000003,4
2012-07-01,0,1.1323948085217577,0.5182668425,4
2013-01-01,0,1.781030783083819,0.47521629,4
2013-01-01,1,2.157346701263012,0.5021136833333334,3
2013-04-01,0,1.3837486627737394,0.28468995,3
2013-04-01,1,2.4591052035490675,0.28685125499999997,2
2013-07-01,0,1.8951687308861715,0.4126850125,4
2013-10-01,0,1.384506533031557,0.47000857,12
2013-10-01,1,1.93790797297439,0.44023605142857136,7
2014-01-01,0,1.724929470036711,0.28801212,1
2014-01-01,1,2.453945440099095,0.27316769,2
2014-04-01,0,1.7600456723255782,0.41744621833333334,60
2014-04-01,1,2.424788434829936,0.3813965166666667,42
2014-07-01,0,2.030122766552578,0.33129647319148936,47
2014-07-01,1,2.9253832580916415,0.31443883906250003,32
2014-10-01,0,2.02949978336048,0.3258444385185185,27
2014-10-01,1,2.7615663070662393,0.30326865000000003,17
2015-01-01,0,1.8083691779662647,0.40681425245283015,53
2015-01-01,1,2.629662346088737,0.3807682211904762,42
2015-04-01,0,1.5962852278632256,0.3234168,11
2015-04-01,1,2.512977524278481,0.25890887,8
2015-07-01,0,2.1225876059431537,0.286436415,4
2015-10-01,0,2.24035011920397,0.3639619217647059,17
2015-10-01,1,4.570888519287109,0.2554081,1
2016-01-01,0,1.8605099543340895,0.33611750500000004,2
2016-01-01,1,2.8470550928460923,0.47252247,1
2016-04-01,0,2.5441928095858892,0.3455796714285714,7
2016-04-01,1,2.9045163091566217,0.22980529,2
2016-07-01,0,2.1065591209464603,0.3926319,1
2016-07-01,1,2.8957881331443787,0.22418651,1
2016-10-01,0,1.1867756989474096,0.340742065,2
2016-10-01,1,2.0799052682563586,0.3372793971428571,7
2017-01-01,0,1.7088101949293084,0.42516712324999995,80
